Index       TIME          {V(VOUT)+1.0}      {V(IN)+4.0}       {V(1)+4.0}          IG(MP1)           IG(MN1)           IS(MP1)           ID(MN1)           ID(MP1)     
104      2.26027852e-05    1.00000385e+00    6.99379778e+00    6.99374595e+00   -2.62730430e-08   -2.55539579e-08    4.77921700e-08    2.11316051e-08   -2.15232869e-08
105      2.26643131e-05    1.00005171e+00    6.98412265e+00    6.98402615e+00   -4.88699436e-08   -4.76299760e-08    1.89891493e-07    1.35776671e-07   -1.41025709e-07
106      2.27258409e-05    1.00020789e+00    6.96998840e+00    6.96984721e+00   -7.13934393e-08   -6.97937712e-08    5.75251208e-07    4.82818630e-07   -5.03861928e-07
107      2.27873688e-05    1.00056845e+00    6.95141621e+00    6.95123031e+00   -9.38098598e-08   -9.20892978e-08    1.41423081e-06    1.26299406e-06   -1.32042511e-06
108      2.28488966e-05    1.00126213e+00    6.92843393e+00    6.92820328e+00   -1.16085688e-07   -1.14564166e-07    2.98121397e-06    2.73779188e-06   -2.86513244e-06
109      2.29104245e-05    1.00245243e+00    6.90107597e+00    6.90080051e+00   -1.38187609e-07   -1.37271085e-07    5.61254696e-06    5.22718602e-06   -5.47436351e-06
110      2.29719523e-05    1.00434035e+00    6.86938331e+00    6.86906296e+00   -1.60082559e-07   -1.60269563e-07    9.70400709e-06    9.10682539e-06   -9.54392868e-06
111      2.30334802e-05    1.00716810e+00    6.83340343e+00    6.83303806e+00   -1.81737773e-07   -1.83627985e-07    1.57078169e-05    1.48046776e-05   -1.55260833e-05
112      2.30950080e-05    1.01122395e+00    6.79319019e+00    6.79277964e+00   -2.03120829e-07   -2.07426201e-07    2.41292224e-05    2.27971193e-05   -2.39261057e-05
113      2.31565359e-05    1.01684865e+00    6.74880383e+00    6.74834787e+00   -2.24199697e-07   -2.31758834e-07    3.55226568e-05    3.36044549e-05   -3.52984612e-05
114      2.32180637e-05    1.02444395e+00    6.70031081e+00    6.69980912e+00   -2.44942777e-07   -2.56739597e-07    5.04875124e-05    4.77858344e-05   -5.02425737e-05
115      2.32795916e-05    1.03448401e+00    6.64778378e+00    6.64723595e+00   -2.65318942e-07   -2.82507039e-07    6.96635476e-05    6.59335140e-05   -6.93982328e-05
116      2.33411194e-05    1.04753088e+00    6.59130144e+00    6.59070691e+00   -2.85297571e-07   -3.09232367e-07    9.37259556e-05    8.86663692e-05   -9.34406621e-05
117      2.34026473e-05    1.06425593e+00    6.53094846e+00    6.53030648e+00   -3.04848585e-07   -3.37130318e-07    1.23380124e-04    1.16622503e-04   -1.23075280e-04
118      2.34641751e-05    1.08547008e+00    6.46681532e+00    6.46612491e+00   -3.23942459e-07   -3.66474649e-07    1.59356116e-04    1.50450691e-04   -1.59032178e-04
119      2.35257030e-05    1.11216757e+00    6.39899828e+00    6.39825811e+00   -3.42550239e-07   -3.97620791e-07    2.02402903e-04    1.90800208e-04   -2.02060356e-04
120      2.35810781e-05    1.14190203e+00    6.33489984e+00    6.33411083e+00   -3.59741378e-07   -4.29264140e-07    2.47819044e-04    2.33215407e-04   -2.47459307e-04
121      2.36364531e-05    1.17822636e+00    6.26797553e+00    6.26713825e+00   -3.75601088e-07   -4.61676545e-07    3.00140572e-04    2.81876742e-04   -2.99764975e-04
122      2.36862907e-05    1.21775163e+00    6.20539956e+00    6.20451421e+00   -3.90218626e-07   -4.95123076e-07    3.53595579e-04    3.31350893e-04   -3.53205365e-04
123      2.37361283e-05    1.26518979e+00    6.14066240e+00    6.13972870e+00   -4.03695624e-07   -5.29998313e-07    4.13505709e-04    3.86487852e-04   -4.13102017e-04
124      2.37809821e-05    1.31616095e+00    6.08060890e+00    6.07962614e+00   -4.16098526e-07   -5.66667343e-07    4.73273583e-04    4.41127753e-04   -4.72857488e-04
125      2.38213505e-05    1.37028948e+00    6.02515082e+00    6.02412029e+00   -4.26953150e-07   -6.03579501e-07    5.32050905e-04    4.94460919e-04   -5.31623955e-04
126      2.38576821e-05    1.42723925e+00    5.97412800e+00    5.97305066e+00   -4.36452880e-07   -6.40880458e-07    5.89166272e-04    5.45849146e-04   -5.88729823e-04
127      2.38903805e-05    1.48672848e+00    5.92733168e+00    5.92620818e+00   -4.44776706e-07   -6.78722090e-07    6.44110802e-04    5.94811246e-04   -6.43666029e-04
128      2.39198091e-05    1.54854014e+00    5.88452357e+00    5.88335424e+00   -4.52078604e-07   -7.17242241e-07    6.96518169e-04    6.41002038e-04   -6.96066093e-04
129      2.39462948e-05    1.61253269e+00    5.84544980e+00    5.84423475e+00   -4.58490765e-07   -7.56565032e-07    7.46143337e-04    6.84189966e-04   -7.45684850e-04
130      2.39701319e-05    1.67865324e+00    5.80985114e+00    5.80859021e+00   -4.64126663e-07   -7.96799070e-07    7.92841832e-04    7.24234996e-04   -7.92377708e-04
131      2.39915854e-05    1.74695636e+00    5.77747015e+00    5.77616303e+00   -4.69083805e-07   -8.38030997e-07    8.36550597e-04    7.61067496e-04   -8.36081516e-04
132      2.40108935e-05    1.81763345e+00    5.74805624e+00    5.74670247e+00   -4.73446224e-07   -8.80309710e-07    8.77270982e-04    7.94668136e-04   -8.76797538e-04
133      2.40282707e-05    1.89106172e+00    5.72136896e+00    5.71996805e+00   -4.77286961e-07   -9.23610538e-07    9.15054054e-04    8.25048031e-04   -9.14576770e-04
134      2.40437134e-05    1.96684316e+00    5.69748599e+00    5.69603786e+00   -4.80644838e-07   -9.67460738e-07    9.49542432e-04    8.51886724e-04   -9.49061790e-04
135      2.40570125e-05    2.04310497e+00    5.67679519e+00    5.67530130e+00   -4.83518037e-07   -1.01033752e-06    9.79937018e-04    8.74569535e-04   -9.79453503e-04
136      2.40683125e-05    2.11932344e+00    5.65912592e+00    5.65758979e+00   -4.85955078e-07   -1.05013219e-06    1.00627214e-03    8.93179290e-04   -1.00578619e-03
137      2.40777700e-05    2.19501285e+00    5.64427423e+00    5.64270189e+00   -4.88039289e-07   -1.08421923e-06    1.02867805e-03    9.07888319e-04   -1.02819001e-03
138      2.40855567e-05    2.26982991e+00    5.63199936e+00    5.63040068e+00   -4.89916561e-07   -1.10860900e-06    1.04738288e-03    9.18948961e-04   -1.04689296e-03
139      2.40918398e-05    2.34350242e+00    5.62205538e+00    5.62044635e+00   -4.91863765e-07   -1.11686016e-06    1.06265984e-03    9.26644838e-04   -1.06216798e-03
140      2.40967816e-05    2.41589517e+00    5.61419213e+00    5.61259918e+00   -4.94503676e-07   -1.09777799e-06    1.07481962e-03    9.31269956e-04   -1.07432512e-03
141      2.41005381e-05    2.48716120e+00    5.60815464e+00    5.60662387e+00   -4.99497365e-07   -1.02963084e-06    1.08420593e-03    9.33091289e-04   -1.08370644e-03
142      2.41023593e-05    2.53153648e+00    5.60514810e+00    5.60372368e+00   -5.13050109e-07   -9.10022457e-07    1.08890639e-03    9.32801702e-04   -1.08839334e-03
143      2.41036321e-05    2.57041706e+00    5.60297739e+00    5.60169571e+00   -5.30064776e-07   -7.49870521e-07    1.09231363e-03    9.31685110e-04   -1.09178356e-03
144      2.41049048e-05    2.61771270e+00    5.60083715e+00    5.59966672e+00   -6.65591172e-07   -4.92884093e-07    1.09549462e-03    9.29330834e-04   -1.09482903e-03
145      2.41060502e-05    2.65368393e+00    5.59910780e+00    5.59783976e+00   -9.66390675e-07   -3.04117378e-07    1.09664277e-03    9.27170163e-04   -1.09567639e-03
146      2.41071957e-05    2.68113379e+00    5.59746623e+00    5.59601196e+00   -1.16664102e-06   -2.88680505e-07    1.09694293e-03    9.25267560e-04   -1.09577630e-03
147      2.41082266e-05    2.70180988e+00    5.59595102e+00    5.59436624e+00   -1.27354920e-06   -2.96066485e-07    1.09697965e-03    9.23513141e-04   -1.09570610e-03
148      2.41092575e-05    2.72022435e+00    5.59438472e+00    5.59271985e+00   -1.35155741e-06   -3.06046933e-07    1.09686617e-03    9.21701330e-04   -1.09551461e-03
149      2.41102884e-05    2.73701857e+00    5.59279279e+00    5.59107279e+00   -1.40429416e-06   -3.11058077e-07    1.09660018e-03    9.19861676e-04   -1.09519588e-03
150      2.41123501e-05    2.76698303e+00    5.58955598e+00    5.58777667e+00   -1.45431914e-06   -3.16229906e-07    1.09573453e-03    9.16126860e-04   -1.09428021e-03
151      2.41144119e-05    2.79343844e+00    5.58629620e+00    5.58447788e+00   -1.49265033e-06   -3.18473260e-07    1.09449336e-03    9.12373228e-04   -1.09300071e-03
152      2.41164737e-05    2.81726328e+00    5.58301464e+00    5.58117644e+00   -1.51294445e-06   -3.20601847e-07    1.09299804e-03    9.08602291e-04   -1.09148510e-03
153      2.41185355e-05    2.83903662e+00    5.57971960e+00    5.57787234e+00   -1.52214439e-06   -3.21918371e-07    1.09130652e-03    9.04823725e-04   -1.08978438e-03
154      2.41205973e-05    2.85915561e+00    5.57641555e+00    5.57456560e+00   -1.52484824e-06   -3.22799510e-07    1.08945978e-03    9.01042723e-04   -1.08793494e-03
155      2.41247209e-05    2.89544604e+00    5.56979189e+00    5.56794419e+00   -1.51952220e-06   -3.23558920e-07    1.08542711e-03    8.93486771e-04   -1.08390759e-03
156      2.41288445e-05    2.92780478e+00    5.56315144e+00    5.56131225e+00   -1.51093072e-06   -3.24379452e-07    1.08101520e-03    8.85943593e-04   -1.07950427e-03
157      2.41329681e-05    2.95712866e+00    5.55649552e+00    5.55466983e+00   -1.49797575e-06   -3.25134888e-07    1.07633452e-03    8.78414937e-04   -1.07483654e-03
158      2.41370917e-05    2.98403954e+00    5.54982783e+00    5.54801697e+00   -1.48335165e-06   -3.25709715e-07    1.07144378e-03    8.70905181e-04   -1.06996043e-03
159      2.41412153e-05    3.00897399e+00    5.54314952e+00    5.54135372e+00   -1.46825925e-06   -3.26228719e-07    1.06638535e-03    8.63415774e-04   -1.06491709e-03
160      2.41453389e-05    3.03225229e+00    5.53646108e+00    5.53468013e+00   -1.45324524e-06   -3.26723402e-07    1.06118996e-03    8.55947427e-04   -1.05973671e-03
