Index       FREQ            Re(V(1))          Im(V(1))          Re(V(2))          Im(V(2))          Re(V(3))          Im(V(3))         Re(I(VIN))        Im(I(VIN))         Re(I(RB))         Im(I(RB))         Re(I(RC))         Im(I(RC))        Re(IC(Q1))        Im(IC(Q1))        Re(IB(Q1))        Im(IB(Q1))    
60       1.00000000e+08   -7.25187016e-02   -4.98372507e-02   -9.58213972e-03    4.34139369e-03   -7.13152247e-03   -5.16830350e-03    6.29365619e-06    5.41786444e-06   -6.29365619e-06   -5.41786444e-06   -7.13152247e-06   -5.16830350e-06    7.13152247e-06    5.16830350e-06   -6.29365619e-06   -5.41786444e-06
61       1.10000000e+08   -1.13640185e-01    7.17557070e-02   -9.08456029e-03    6.15928595e-03   -1.27872129e-02   -3.92870257e-03    1.04555625e-05   -6.55964210e-06   -1.04555625e-05    6.55964210e-06   -1.27872129e-05   -3.92870257e-06    1.27872129e-05    3.92870257e-06   -1.04555625e-05    6.55964210e-06
62       1.20000000e+08    8.02604706e-03    5.84237847e-02   -5.94254662e-03    5.92395713e-03   -1.00159059e-02    2.14509438e-03   -1.39685937e-06   -5.24998276e-06    1.39685937e-06    5.24998276e-06   -1.00159059e-05    2.14509438e-06    1.00159059e-05   -2.14509438e-06    1.39685937e-06    5.24998276e-06
63       1.30000000e+08   -5.26701929e-02   -6.92668611e-03   -4.39692265e-03    5.64213674e-03   -6.03655126e-03    8.77094838e-04    4.82732702e-06    1.25688228e-06   -4.82732702e-06   -1.25688228e-06   -6.03655126e-06    8.77094838e-07    6.03655126e-06   -8.77094840e-07   -4.82732702e-06   -1.25688228e-06
64       1.40000000e+08   -5.41167132e-02    8.50896909e-02   -2.83114267e-03    7.17128370e-03   -7.64640211e-03    2.79729814e-03    5.12855706e-06   -7.79184072e-06   -5.12855706e-06    7.79184072e-06   -7.64640211e-06    2.79729814e-06    7.64640211e-06   -2.79729813e-06   -5.12855706e-06    7.79184072e-06
65       1.50000000e+08    2.92874687e-02    4.63906439e-02   -1.02186363e-03    6.79246412e-03   -4.86249751e-03    6.00153533e-03   -3.03093323e-06   -3.95981798e-06    3.03093323e-06    3.95981798e-06   -4.86249751e-06    6.00153533e-06    4.86249751e-06   -6.00153533e-06    3.03093324e-06    3.95981798e-06
66       1.60000000e+08   -2.90777440e-02    1.14180219e-02   -6.87878818e-04    5.85740060e-03   -2.99932710e-03    4.11714253e-03    2.83898652e-06   -5.56062127e-07   -2.83898652e-06    5.56062127e-07   -2.99932710e-06    4.11714253e-06    2.99932710e-06   -4.11714253e-06   -2.83898652e-06    5.56062127e-07
67       1.70000000e+08   -9.41123620e-03    7.64828366e-02    6.88563717e-04    5.81611585e-03   -3.33731514e-03    4.76058603e-03    1.00997999e-06   -7.06667207e-06   -1.00997999e-06    7.06667207e-06   -3.33731514e-06    4.76058603e-06    3.33731514e-06   -4.76058603e-06   -1.00997999e-06    7.06667207e-06
68       1.80000000e+08    4.18951448e-02    2.75109279e-02    2.25698503e-03    4.77726732e-03   -5.11814470e-04    5.70396305e-03   -3.96381598e-06   -2.27336605e-06    3.96381598e-06    2.27336605e-06   -5.11814470e-07    5.70396305e-06    5.11814471e-07   -5.70396305e-06    3.96381598e-06    2.27336605e-06
69       1.90000000e+08   -9.61102170e-03    1.38574517e-02    2.35710854e-03    4.15140503e-03    5.15189658e-04    4.13505422e-03    1.19681302e-06   -9.70604666e-07   -1.19681302e-06    9.70604666e-07    5.15189658e-07    4.13505422e-06   -5.15189659e-07   -4.13505423e-06   -1.19681302e-06    9.70604666e-07
70       2.00000000e+08    1.88948439e-02    5.58406201e-02    2.98850968e-03    3.86597112e-03    2.77218350e-04    4.46982931e-03   -1.59063342e-06   -5.19746490e-06    1.59063342e-06    5.19746490e-06    2.77218350e-07    4.46982931e-06   -2.77218348e-07   -4.46982931e-06    1.59063342e-06    5.19746490e-06
71       2.10000000e+08    4.43632866e-02    6.89758917e-03    3.51769027e-03    2.46936676e-03    2.02108831e-03    4.08552318e-03   -4.08455963e-06   -4.42822241e-07    4.08455963e-06    4.42822241e-07    2.02108831e-06    4.08552318e-06   -2.02108831e-06   -4.08552318e-06    4.08455963e-06    4.42822241e-07
72       2.20000000e+08    2.07335424e-03    7.78133729e-03    3.34513388e-03    1.66896516e-03    2.34481250e-03    2.44928533e-03    1.27177964e-07   -6.11237213e-07   -1.27177964e-07    6.11237213e-07    2.34481250e-06    2.44928533e-06   -2.34481250e-06   -2.44928533e-06   -1.27177964e-07    6.11237213e-07
