Index         TIME             V(N03529)           V(NCLK)           V(NMYVDD)           V(NRF)        V(X_DFF:N285734)  V(X_DFF:X_U8A:PREB) V(X_DFF:X_U8A:CLRB)   V(X_DFF:INVVRF)
27      1.0001080000e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
28      1.0001160000e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
29      1.0001240000e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
30      1.0001400000e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
31      1.0001720000e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
32      1.0002360000e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
33      1.0003640000e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
34      1.0006200000e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
35      1.0011320000e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
36      1.0021560000e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
37      1.0042040000e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
38      1.0083000000e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
39      1.0125150000e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1650485437e+01   1.1707317073e+01   
