Index       FREQ            Re(V(1))          Im(V(1))         Re(I(VSRC))       Im(I(VSRC))   
11       1.25892541e+01    9.86538350e-03    9.88334848e-02   -1.56355791e-05   -1.56640517e-04
12       1.58489319e+01    1.55458764e-02    1.23710154e-01   -2.46385537e-05   -1.96067380e-04
13       1.99526231e+01    2.44165419e-02    1.54338506e-01   -3.86976111e-05   -2.44610047e-04
14       2.51188643e+01    3.81527491e-02    1.91564915e-01   -6.04680323e-05   -3.03609930e-04
15       3.16227766e+01    5.91481251e-02    2.35901726e-01   -9.37434608e-05   -3.73879040e-04
16       3.98107171e+01    9.06088183e-02    2.87052017e-01   -1.43605299e-04   -4.54946787e-04
17       5.01187234e+01    1.36377758e-01    3.43189256e-01   -2.16144180e-04   -5.43918315e-04
18       6.30957344e+01    2.00176794e-01    4.00132534e-01   -3.17258838e-04   -6.34167330e-04
19       7.94328235e+01    2.84006747e-01    4.50940035e-01   -4.50120360e-04   -7.14691791e-04
20       1.00000000e+02    3.86000434e-01    4.86830668e-01   -6.11769459e-04   -7.71574611e-04
21       1.25892541e+02    4.99090323e-01    4.99999172e-01   -7.91004856e-04   -7.92445285e-04
22       1.58489319e+02    6.12273363e-01    4.87231661e-01   -9.70387885e-04   -7.72210143e-04
23       1.99526231e+02    7.14511088e-01    4.51646978e-01   -1.13242376e-03   -7.15812221e-04
24       2.51188643e+02    7.98655504e-01    4.01004850e-01   -1.26578367e-03   -6.35549857e-04
25       3.16227766e+02    8.62762845e-01    3.44097542e-01   -1.36738696e-03   -5.45357851e-04
26       3.98107171e+02    9.08789741e-01    2.87907880e-01   -1.44033467e-03   -4.56303239e-04
27       5.01187234e+02    9.40445587e-01    2.36659427e-01   -1.49050581e-03   -3.75079915e-04
28       6.30957344e+02    9.61579291e-01    1.92209672e-01   -1.52400047e-03   -3.04631801e-04
29       7.94328235e+02    9.75409506e-01    1.54873502e-01   -1.54591989e-03   -2.45457960e-04
30       1.00000000e+03    9.84342355e-01    1.24147023e-01   -1.56007750e-03   -1.96759771e-04
31       1.25892541e+03    9.90063276e-01    9.91866193e-02   -1.56914455e-03   -1.57200198e-04
32       1.58489319e+03    9.93707275e-01    7.90767124e-02   -1.57491990e-03   -1.25328143e-04
33       1.99526231e+03    9.96020317e-01    6.29590742e-02   -1.57858582e-03   -9.97834081e-05
0        1.00000000e+00    9.96268636e-05    9.98082853e-03   -1.25422790e-07   -1.25651187e-05
1        1.25892541e+00    1.57888738e-04    1.25643865e-02   -1.98770144e-07   -1.58176255e-05
2        1.58489319e+00    2.50213679e-04    1.58161649e-02   -3.15000358e-07   -1.99113719e-05
3        1.99526231e+00    3.96503928e-04    1.99084583e-02   -4.99168871e-07   -2.50632641e-05
4        2.51188643e+00    6.28270673e-04    2.50574530e-02   -7.90945916e-07   -3.15454643e-05
5        3.16227766e+00    9.95376141e-04    3.15338765e-02   -1.25310432e-06   -3.96987985e-05
6        3.98107171e+00    1.57664696e-03    3.96756997e-02   -1.98488093e-06   -4.99487466e-05
7        5.01187234e+00    2.49651483e-03    4.99027278e-02   -3.14292596e-06   -6.28238121e-05
8        6.30957344e+00    3.95094021e-03    6.27322109e-02   -4.97393904e-06   -7.89751744e-05
9        7.94328235e+00    6.24738131e-03    7.87930932e-02   -7.86498709e-06   -9.91946273e-05
10       1.00000000e+01    9.86538350e-03    9.88334848e-02   -1.24197820e-05   -1.24423985e-04
11       1.25892541e+01    1.55458764e-02    1.23710154e-01   -1.95710989e-05   -1.55741856e-04
12       1.58489319e+01    2.44165419e-02    1.54338506e-01   -3.07386051e-05   -1.94300667e-04
13       1.99526231e+01    3.81527491e-02    1.91564915e-01   -4.80314653e-05   -2.41165940e-04
14       2.51188643e+01    5.91481251e-02    2.35901726e-01   -7.44630777e-05   -2.96982678e-04
15       3.16227766e+01    9.06088183e-02    2.87052017e-01   -1.14069744e-04   -3.61377078e-04
16       3.98107171e+01    1.36377758e-01    3.43189256e-01   -1.71689425e-04   -4.32049675e-04
17       5.01187234e+01    2.00176794e-01    4.00132534e-01   -2.52007652e-04   -5.03737015e-04
18       6.30957344e+01    2.84006747e-01    4.50940035e-01   -3.57543311e-04   -5.67699869e-04
19       7.94328235e+01    3.86000434e-01    4.86830668e-01   -4.85945755e-04   -6.12883499e-04
20       1.00000000e+02    4.99090323e-01    4.99999172e-01   -6.28317491e-04   -6.29461664e-04
21       1.25892541e+02    6.12273363e-01    4.87231661e-01   -7.70806496e-04   -6.13388320e-04
22       1.58489319e+02    7.14511088e-01    4.51646978e-01   -8.99516166e-04   -5.68589858e-04
23       1.99526231e+02    7.98655504e-01    4.01004850e-01   -1.00544771e-03   -5.04835196e-04
24       2.51188643e+02    8.62762845e-01    3.44097542e-01   -1.08615407e-03   -4.33193139e-04
25       3.16227766e+02    9.08789741e-01    2.87907880e-01   -1.14409850e-03   -3.62454547e-04
26       3.98107171e+02    9.40445587e-01    2.36659427e-01   -1.18395085e-03   -2.97936567e-04
27       5.01187234e+02    9.61579291e-01    1.92209672e-01   -1.21055661e-03   -2.41977640e-04
28       6.30957344e+02    9.75409506e-01    1.54873502e-01   -1.22796781e-03   -1.94974188e-04
29       7.94328235e+02    9.84342355e-01    1.24147023e-01   -1.23921360e-03   -1.56291842e-04
30       1.00000000e+03    9.90063276e-01    9.91866193e-02   -1.24641582e-03   -1.24868555e-04
31       1.25892541e+03    9.93707275e-01    7.90767124e-02   -1.25100334e-03   -9.95516827e-05
32       1.58489319e+03    9.96020317e-01    6.29590742e-02   -1.25391529e-03   -7.92607784e-05
33       1.99526231e+03    9.97485297e-01    5.00837269e-02   -1.25575959e-03   -6.30516765e-05
0        1.00000000e+00    1.57888738e-04    1.25643865e-02   -1.57888738e-07   -1.25643865e-05
1        1.25892541e+00    2.50213679e-04    1.58161649e-02   -2.50213679e-07   -1.58161649e-05
2        1.58489319e+00    3.96503928e-04    1.99084583e-02   -3.96503928e-07   -1.99084583e-05
3        1.99526231e+00    6.28270673e-04    2.50574530e-02   -6.28270673e-07   -2.50574530e-05
4        2.51188643e+00    9.95376141e-04    3.15338765e-02   -9.95376141e-07   -3.15338765e-05
5        3.16227766e+00    1.57664696e-03    3.96756997e-02   -1.57664696e-06   -3.96756997e-05
6        3.98107171e+00    2.49651483e-03    4.99027278e-02   -2.49651483e-06   -4.99027278e-05
7        5.01187234e+00    3.95094021e-03    6.27322109e-02   -3.95094021e-06   -6.27322109e-05
8        6.30957344e+00    6.24738131e-03    7.87930932e-02   -6.24738131e-06   -7.87930932e-05
9        7.94328235e+00    9.86538350e-03    9.88334848e-02   -9.86538350e-06   -9.88334848e-05
10       1.00000000e+01    1.55458764e-02    1.23710154e-01   -1.55458764e-05   -1.23710154e-04
11       1.25892541e+01    2.44165419e-02    1.54338506e-01   -2.44165419e-05   -1.54338506e-04
12       1.58489319e+01    3.81527491e-02    1.91564915e-01   -3.81527491e-05   -1.91564915e-04
13       1.99526231e+01    5.91481251e-02    2.35901726e-01   -5.91481251e-05   -2.35901726e-04
14       2.51188643e+01    9.06088183e-02    2.87052017e-01   -9.06088183e-05   -2.87052017e-04
15       3.16227766e+01    1.36377758e-01    3.43189256e-01   -1.36377758e-04   -3.43189256e-04
16       3.98107171e+01    2.00176794e-01    4.00132534e-01   -2.00176794e-04   -4.00132534e-04
17       5.01187234e+01    2.84006747e-01    4.50940035e-01   -2.84006747e-04   -4.50940035e-04
18       6.30957344e+01    3.86000434e-01    4.86830668e-01   -3.86000434e-04   -4.86830668e-04
19       7.94328235e+01    4.99090323e-01    4.99999172e-01   -4.99090323e-04   -4.99999172e-04
20       1.00000000e+02    6.12273363e-01    4.87231661e-01   -6.12273363e-04   -4.87231661e-04
21       1.25892541e+02    7.14511088e-01    4.51646978e-01   -7.14511088e-04   -4.51646978e-04
22       1.58489319e+02    7.98655504e-01    4.01004850e-01   -7.98655504e-04   -4.01004850e-04
23       1.99526231e+02    8.62762845e-01    3.44097542e-01   -8.62762845e-04   -3.44097542e-04
24       2.51188643e+02    9.08789741e-01    2.87907880e-01   -9.08789741e-04   -2.87907880e-04
25       3.16227766e+02    9.40445587e-01    2.36659427e-01   -9.40445587e-04   -2.36659427e-04
26       3.98107171e+02    9.61579291e-01    1.92209672e-01   -9.61579291e-04   -1.92209672e-04
27       5.01187234e+02    9.75409506e-01    1.54873502e-01   -9.75409506e-04   -1.54873502e-04
28       6.30957344e+02    9.84342355e-01    1.24147023e-01   -9.84342355e-04   -1.24147023e-04
29       7.94328235e+02    9.90063276e-01    9.91866193e-02   -9.90063276e-04   -9.91866193e-05
30       1.00000000e+03    9.93707275e-01    7.90767124e-02   -9.93707275e-04   -7.90767124e-05
31       1.25892541e+03    9.96020317e-01    6.29590742e-02   -9.96020317e-04   -6.29590742e-05
32       1.58489319e+03    9.97485297e-01    5.00837269e-02   -9.97485297e-04   -5.00837269e-05
33       1.99526231e+03    9.98411856e-01    3.98198725e-02   -9.98411856e-04   -3.98198725e-05
0        1.00000000e+00    2.50213679e-04    1.58161649e-02   -1.98751790e-07   -1.25632263e-05
1        1.25892541e+00    3.96503928e-04    1.99084583e-02   -3.14954265e-07   -1.58138506e-05
2        1.58489319e+00    6.28270673e-04    2.50574530e-02   -4.99053135e-07   -1.99038424e-05
3        1.99526231e+00    9.95376141e-04    3.15338765e-02   -7.90655373e-07   -2.50482485e-05
4        2.51188643e+00    1.57664696e-03    3.96756997e-02   -1.25237520e-06   -3.15155285e-05
5        3.16227766e+00    2.49651483e-03    4.99027278e-02   -1.98305222e-06   -3.96391457e-05
6        3.98107171e+00    3.95094021e-03    6.27322109e-02   -3.13834337e-06   -4.98299663e-05
7        5.01187234e+00    6.24738131e-03    7.87930932e-02   -4.96247137e-06   -6.25875786e-05
8        6.30957344e+00    9.86538350e-03    9.88334848e-02   -7.83635266e-06   -7.85062275e-05
9        7.94328235e+00    1.55458764e-02    1.23710154e-01   -1.23485286e-05   -9.82664680e-05
10       1.00000000e+01    2.44165419e-02    1.54338506e-01   -1.93947487e-05   -1.22595433e-04
11       1.25892541e+01    3.81527491e-02    1.91564915e-01   -3.03058058e-05   -1.52165421e-04
12       1.58489319e+01    5.91481251e-02    2.35901726e-01   -4.69830258e-05   -1.87383402e-04
13       1.99526231e+01    9.06088183e-02    2.87052017e-01   -7.19731427e-05   -2.28013522e-04
14       2.51188643e+01    1.36377758e-01    3.43189256e-01   -1.08328704e-04   -2.72604916e-04
15       3.16227766e+01    2.00176794e-01    4.00132534e-01   -1.59006079e-04   -3.17836570e-04
16       3.98107171e+01    2.84006747e-01    4.50940035e-01   -2.25594578e-04   -3.58194402e-04
17       5.01187234e+01    3.86000434e-01    4.86830668e-01   -3.06611043e-04   -3.86703345e-04
18       6.30957344e+01    4.99090323e-01    4.99999172e-01   -3.96441536e-04   -3.97163460e-04
19       7.94328235e+01    6.12273363e-01    4.87231661e-01   -4.86346020e-04   -3.87021866e-04
20       1.00000000e+02    7.14511088e-01    4.51646978e-01   -5.67556332e-04   -3.58755947e-04
21       1.25892541e+02    7.98655504e-01    4.01004850e-01   -6.34394617e-04   -3.18529475e-04
22       1.58489319e+02    8.62762845e-01    3.44097542e-01   -6.85316888e-04   -2.73326393e-04
23       1.99526231e+02    9.08789741e-01    2.87907880e-01   -7.21877351e-04   -2.28693358e-04
24       2.51188643e+02    9.40445587e-01    2.36659427e-01   -7.47022483e-04   -1.87985265e-04
25       3.16227766e+02    9.61579291e-01    1.92209672e-01   -7.63809581e-04   -1.52677569e-04
26       3.98107171e+02    9.75409506e-01    1.54873502e-01   -7.74795311e-04   -1.23020396e-04
27       5.01187234e+02    9.84342355e-01    1.24147023e-01   -7.81890925e-04   -9.86134854e-05
28       6.30957344e+02    9.90063276e-01    9.91866193e-02   -7.86435214e-04   -7.87867322e-05
29       7.94328235e+02    9.93707275e-01    7.90767124e-02   -7.89329746e-04   -6.28128654e-05
30       1.00000000e+03    9.96020317e-01    6.29590742e-02   -7.91167060e-04   -5.00101703e-05
31       1.25892541e+03    9.97485297e-01    5.00837269e-02   -7.92330735e-04   -3.97829184e-05
32       1.58489319e+03    9.98411856e-01    3.98198725e-02   -7.93066727e-04   -3.16300490e-05
33       1.99526231e+03    9.98997361e-01    3.16485981e-02   -7.93531810e-04   -2.51393750e-05
0        1.00000000e+00    3.96503928e-04    1.99084583e-02   -2.50177066e-07   -1.25613880e-05
1        1.25892541e+00    6.28270673e-04    2.50574530e-02   -3.96411995e-07   -1.58101840e-05
2        1.58489319e+00    9.95376141e-04    3.15338765e-02   -6.28039886e-07   -1.98965310e-05
3        1.99526231e+00    1.57664696e-03    3.96756997e-02   -9.94796981e-07   -2.50336741e-05
4        2.51188643e+00    2.49651483e-03    4.99027278e-02   -1.57519437e-06   -3.14864926e-05
5        3.16227766e+00    3.95094021e-03    6.27322109e-02   -2.49287475e-06   -3.95813492e-05
6        3.98107171e+00    6.24738131e-03    7.87930932e-02   -3.94183112e-06   -4.97150809e-05
7        5.01187234e+00    9.86538350e-03    9.88334848e-02   -6.22463618e-06   -6.23597131e-05
8        6.30957344e+00    1.55458764e-02    1.23710154e-01   -9.80878489e-06   -7.80558301e-05
9        7.94328235e+00    2.44165419e-02    1.54338506e-01   -1.54057965e-05   -9.73810139e-05
10       1.00000000e+01    3.81527491e-02    1.91564915e-01   -2.40727572e-05   -1.20869290e-04
11       1.25892541e+01    5.91481251e-02    2.35901726e-01   -3.73199439e-05   -1.48843927e-04
12       1.58489319e+01    9.06088183e-02    2.87052017e-01   -5.71702994e-05   -1.81117578e-04
13       1.99526231e+01    1.36377758e-01    3.43189256e-01   -8.60485481e-05   -2.16537781e-04
14       2.51188643e+01    2.00176794e-01    4.00132534e-01   -1.26303018e-04   -2.52466561e-04
15       3.16227766e+01    2.84006747e-01    4.50940035e-01   -1.79196143e-04   -2.84523927e-04
16       3.98107171e+01    3.86000434e-01    4.86830668e-01   -2.43549809e-04   -3.07169385e-04
17       5.01187234e+01    4.99090323e-01    4.99999172e-01   -3.14904705e-04   -3.15478150e-04
18       6.30957344e+01    6.12273363e-01    4.87231661e-01   -3.86318375e-04   -3.07422395e-04
19       7.94328235e+01    7.14511088e-01    4.51646978e-01   -4.50826019e-04   -2.84969978e-04
20       1.00000000e+02    7.98655504e-01    4.01004850e-01   -5.03917556e-04   -2.53016955e-04
21       1.25892541e+02    8.62762845e-01    3.44097542e-01   -5.44366554e-04   -2.17110871e-04
22       1.58489319e+02    9.08789741e-01    2.87907880e-01   -5.73407562e-04   -1.81657592e-04
23       1.99526231e+02    9.40445587e-01    2.36659427e-01   -5.93381050e-04   -1.49322004e-04
24       2.51188643e+02    9.61579291e-01    1.92209672e-01   -6.06715516e-04   -1.21276104e-04
25       3.16227766e+02    9.75409506e-01    1.54873502e-01   -6.15441792e-04   -9.77185738e-05
26       3.98107171e+02    9.84342355e-01    1.24147023e-01   -6.21078038e-04   -7.83314757e-05
27       5.01187234e+02    9.90063276e-01    9.91866193e-02   -6.24687696e-04   -6.25825259e-05
28       6.30957344e+02    9.93707275e-01    7.90767124e-02   -6.26986904e-04   -4.98940325e-05
29       7.94328235e+02    9.96020317e-01    6.29590742e-02   -6.28446334e-04   -3.97244903e-05
30       1.00000000e+03    9.97485297e-01    5.00837269e-02   -6.29370674e-04   -3.16006953e-05
31       1.25892541e+03    9.98411856e-01    3.98198725e-02   -6.29955293e-04   -2.51246410e-05
32       1.58489319e+03    9.98997361e-01    3.16485981e-02   -6.30324722e-04   -1.99689154e-05
33       1.99526231e+03    9.99367143e-01    2.51486805e-02   -6.30558039e-04   -1.58677446e-05
0        1.00000000e+00    6.28270673e-04    2.50574530e-02   -3.14881241e-07   -1.25584755e-05
1        1.25892541e+00    9.95376141e-04    3.15338765e-02   -4.98869814e-07   -1.58043763e-05
2        1.58489319e+00    1.57664696e-03    3.96756997e-02   -7.90195330e-07   -1.98849542e-05
3        1.99526231e+00    2.49651483e-03    4.99027278e-02   -1.25122136e-06   -2.50106101e-05
4        2.51188643e+00    3.95094021e-03    6.27322109e-02   -1.98016080e-06   -3.14405832e-05
5        3.16227766e+00    6.24738131e-03    7.87930932e-02   -3.13110776e-06   -3.94900924e-05
6        3.98107171e+00    9.86538350e-03    9.88334848e-02   -4.94440426e-06   -4.95340808e-05
7        5.01187234e+00    1.55458764e-02    1.23710154e-01   -7.79139479e-06   -6.20019497e-05
8        6.30957344e+00    2.44165419e-02    1.54338506e-01   -1.22372591e-05   -7.73524888e-05
9        7.94328235e+00    3.81527491e-02    1.91564915e-01   -1.91216708e-05   -9.60098900e-05
10       1.00000000e+01    5.91481251e-02    2.35901726e-01   -2.96442852e-05   -1.18230934e-04
11       1.25892541e+01    9.06088183e-02    2.87052017e-01   -4.54119830e-05   -1.43866806e-04
12       1.58489319e+01    1.36377758e-01    3.43189256e-01   -6.83507913e-05   -1.72002074e-04
13       1.99526231e+01    2.00176794e-01    4.00132534e-01   -1.00326053e-04   -2.00541318e-04
14       2.51188643e+01    2.84006747e-01    4.50940035e-01   -1.42340556e-04   -2.26005388e-04
15       3.16227766e+01    3.86000434e-01    4.86830668e-01   -1.93458489e-04   -2.43993316e-04
16       3.98107171e+01    4.99090323e-01    4.99999172e-01   -2.50137698e-04   -2.50593202e-04
17       5.01187234e+01    6.12273363e-01    4.87231661e-01   -3.06863593e-04   -2.44194289e-04
18       6.30957344e+01    7.14511088e-01    4.51646978e-01   -3.58103836e-04   -2.26359700e-04
19       7.94328235e+01    7.98655504e-01    4.01004850e-01   -4.00275943e-04   -2.00978511e-04
20       1.00000000e+02    8.62762845e-01    3.44097542e-01   -4.32405724e-04   -1.72457295e-04
21       1.25892541e+02    9.08789741e-01    2.87907880e-01   -4.55473816e-04   -1.44295754e-04
22       1.58489319e+02    9.40445587e-01    2.36659427e-01   -4.71339322e-04   -1.18610684e-04
23       1.99526231e+02    9.61579291e-01    1.92209672e-01   -4.81931265e-04   -9.63330338e-05
24       2.51188643e+02    9.75409506e-01    1.54873502e-01   -4.88862792e-04   -7.76206222e-05
25       3.16227766e+02    9.84342355e-01    1.24147023e-01   -4.93339822e-04   -6.22209028e-05
26       3.98107171e+02    9.90063276e-01    9.91866193e-02   -4.96207074e-04   -4.97110673e-05
27       5.01187234e+02    9.93707275e-01    7.90767124e-02   -4.98033400e-04   -3.96322387e-05
28       6.30957344e+02    9.96020317e-01    6.29590742e-02   -4.99192667e-04   -3.15542842e-05
29       7.94328235e+02    9.97485297e-01    5.00837269e-02   -4.99926896e-04   -2.51013245e-05
30       1.00000000e+03    9.98411856e-01    3.98198725e-02   -5.00391276e-04   -1.99572118e-05
31       1.25892541e+03    9.98997361e-01    3.16485981e-02   -5.00684724e-04   -1.58618733e-05
32       1.58489319e+03    9.99367143e-01    2.51486805e-02   -5.00870054e-04   -1.26041976e-05
33       1.99526231e+03    9.99600601e-01    1.99809735e-02   -5.00987060e-04   -1.00142089e-05
0        1.00000000e+00    9.95376141e-04    3.15338765e-02   -3.96266379e-07   -1.25538623e-05
1        1.25892541e+00    1.57664696e-03    3.96756997e-02   -6.27674461e-07   -1.57951806e-05
2        1.58489319e+00    2.49651483e-03    4.99027278e-02   -9.93880454e-07   -1.98666338e-05
3        1.99526231e+00    3.95094021e-03    6.27322109e-02   -1.57289763e-06   -2.49741430e-05
4        2.51188643e+00    6.24738131e-03    7.87930932e-02   -2.48712730e-06   -3.13680954e-05
5        3.16227766e+00    9.86538350e-03    9.88334848e-02   -3.92747991e-06   -3.93463190e-05
6        3.98107171e+00    1.55458764e-02    1.23710154e-01   -6.18892487e-06   -4.92498993e-05
7        5.01187234e+00    2.44165419e-02    1.54338506e-01   -9.72040043e-06   -6.14432659e-05
8        6.30957344e+00    3.81527491e-02    1.91564915e-01   -1.51888830e-05   -7.62633664e-05
9        7.94328235e+00    5.91481251e-02    2.35901726e-01   -2.35472927e-05   -9.39141687e-05
10       1.00000000e+01    9.06088183e-02    2.87052017e-01   -3.60720203e-05   -1.14277466e-04
11       1.25892541e+01    1.36377758e-01    3.43189256e-01   -5.42929634e-05   -1.36626104e-04
12       1.58489319e+01    2.00176794e-01    4.00132534e-01   -7.96918170e-05   -1.59295631e-04
13       1.99526231e+01    2.84006747e-01    4.50940035e-01   -1.13065123e-04   -1.79522461e-04
14       2.51188643e+01    3.86000434e-01    4.86830668e-01   -1.53669540e-04   -1.93810780e-04
15       3.16227766e+01    4.99090323e-01    4.99999172e-01   -1.98691436e-04   -1.99053256e-04
16       3.98107171e+01    6.12273363e-01    4.87231661e-01   -2.43750416e-04   -1.93970418e-04
17       5.01187234e+01    7.14511088e-01    4.51646978e-01   -2.84451988e-04   -1.79803901e-04
18       6.30957344e+01    7.98655504e-01    4.01004850e-01   -3.17950483e-04   -1.59642906e-04
19       7.94328235e+01    8.62762845e-01    3.44097542e-01   -3.43472075e-04   -1.36987699e-04
20       1.00000000e+02    9.08789741e-01    2.87907880e-01   -3.61795713e-04   -1.14618192e-04
21       1.25892541e+02    9.40445587e-01    2.36659427e-01   -3.74398132e-04   -9.42158150e-05
22       1.58489319e+02    9.61579291e-01    1.92209672e-01   -3.82811611e-04   -7.65200487e-05
23       1.99526231e+02    9.75409506e-01    1.54873502e-01   -3.88317519e-04   -6.16562518e-05
24       2.51188643e+02    9.84342355e-01    1.24147023e-01   -3.91873750e-04   -4.94238199e-05
25       3.16227766e+02    9.90063276e-01    9.91866193e-02   -3.94151290e-04   -3.94869043e-05
26       3.98107171e+02    9.93707275e-01    7.90767124e-02   -3.95601992e-04   -3.14810062e-05
27       5.01187234e+02    9.96020317e-01    6.29590742e-02   -3.96522830e-04   -2.50644589e-05
28       6.30957344e+02    9.97485297e-01    5.00837269e-02   -3.97106049e-04   -1.99386908e-05
29       7.94328235e+02    9.98411856e-01    3.98198725e-02   -3.97474919e-04   -1.58525768e-05
30       1.00000000e+03    9.98997361e-01    3.16485981e-02   -3.97708013e-04   -1.25995338e-05
31       1.25892541e+03    9.99367143e-01    2.51486805e-02   -3.97855226e-04   -1.00118700e-05
32       1.58489319e+03    9.99600601e-01    1.99809735e-02   -3.97948167e-04   -7.95456884e-06
33       1.99526231e+03    9.99747959e-01    1.58737912e-02   -3.98006831e-04   -6.31947008e-06
0        1.00000000e+00    1.57664696e-03    3.96756997e-02   -4.98579547e-07   -1.25465579e-05
1        1.25892541e+00    2.49651483e-03    4.99027278e-02   -7.89467307e-07   -1.57806281e-05
2        1.58489319e+00    3.95094021e-03    6.27322109e-02   -1.24939700e-06   -1.98376669e-05
3        1.99526231e+00    6.24738131e-03    7.87930932e-02   -1.97559544e-06   -2.49165638e-05
4        2.51188643e+00    9.86538350e-03    9.88334848e-02   -3.11970819e-06   -3.12538921e-05
5        3.16227766e+00    1.55458764e-02    1.23710154e-01   -4.91603777e-06   -3.91205855e-05
6        3.98107171e+00    2.44165419e-02    1.54338506e-01   -7.72118851e-06   -4.88061210e-05
7        5.01187234e+00    3.81527491e-02    1.91564915e-01   -1.20649586e-05   -6.05781452e-05
8        6.30957344e+00    5.91481251e-02    2.35901726e-01   -1.87042795e-05   -7.45986759e-05
9        7.94328235e+00    9.06088183e-02    2.87052017e-01   -2.86530242e-05   -9.07738180e-05
10       1.00000000e+01    1.36377758e-01    3.43189256e-01   -4.31264338e-05   -1.08525972e-04
11       1.25892541e+01    2.00176794e-01    4.00132534e-01   -6.33014603e-05   -1.26533017e-04
12       1.58489319e+01    2.84006747e-01    4.50940035e-01   -8.98108192e-05   -1.42599760e-04
13       1.99526231e+01    3.86000434e-01    4.86830668e-01   -1.22064055e-04   -1.53949374e-04
14       2.51188643e+01    4.99090323e-01    4.99999172e-01   -1.57826218e-04   -1.58113621e-04
15       3.16227766e+01    6.12273363e-01    4.87231661e-01   -1.93617838e-04   -1.54076180e-04
16       3.98107171e+01    7.14511088e-01    4.51646978e-01   -2.25948245e-04   -1.42823315e-04
17       5.01187234e+01    7.98655504e-01    4.01004850e-01   -2.52557046e-04   -1.26808868e-04
18       6.30957344e+01    8.62762845e-01    3.44097542e-01   -2.72829567e-04   -1.08813197e-04
19       7.94328235e+01    9.08789741e-01    2.87907880e-01   -2.87384550e-04   -9.10444658e-05
20       1.00000000e+02    9.40445587e-01    2.36659427e-01   -2.97395007e-04   -7.48382820e-05
21       1.25892541e+02    9.61579291e-01    1.92209672e-01   -3.04078071e-04   -6.07820352e-05
22       1.58489319e+02    9.75409506e-01    1.54873502e-01   -3.08451569e-04   -4.89753017e-05
23       1.99526231e+02    9.84342355e-01    1.24147023e-01   -3.11276384e-04   -3.92587356e-05
24       2.51188643e+02    9.90063276e-01    9.91866193e-02   -3.13085498e-04   -3.13655630e-05
25       3.16227766e+02    9.93707275e-01    7.90767124e-02   -3.14237832e-04   -2.50062521e-05
26       3.98107171e+02    9.96020317e-01    6.29590742e-02   -3.14969280e-04   -1.99094074e-05
27       5.01187234e+02    9.97485297e-01    5.00837269e-02   -3.15432547e-04   -1.58378651e-05
28       6.30957344e+02    9.98411856e-01    3.98198725e-02   -3.15725551e-04   -1.25921493e-05
29       7.94328235e+02    9.98997361e-01    3.16485981e-02   -3.15910704e-04   -1.00081655e-05
30       1.00000000e+03    9.99367143e-01    2.51486805e-02   -3.16027639e-04   -7.95271104e-06
31       1.25892541e+03    9.99600601e-01    1.99809735e-02   -3.16101465e-04   -6.31853862e-06
32       1.58489319e+03    9.99747959e-01    1.58737912e-02   -3.16148064e-04   -5.01973352e-06
33       1.99526231e+03    9.99840958e-01    1.26101734e-02   -3.16177473e-04   -3.98768697e-06
0        1.00000000e+00    2.49651483e-03    4.99027278e-02   -6.27096172e-07   -1.25349985e-05
1        1.25892541e+00    3.95094021e-03    6.27322109e-02   -9.92431311e-07   -1.57576189e-05
2        1.58489319e+00    6.24738131e-03    7.87930932e-02   -1.56927124e-06   -1.97919302e-05
3        1.99526231e+00    9.86538350e-03    9.88334848e-02   -2.47807230e-06   -2.48258489e-05
4        2.51188643e+00    1.55458764e-02    1.23710154e-01   -3.90494760e-06   -3.10745857e-05
5        3.16227766e+00    2.44165419e-02    1.54338506e-01   -6.13315804e-06   -3.87680799e-05
6        3.98107171e+00    3.81527491e-02    1.91564915e-01   -9.58353727e-06   -4.81189312e-05
7        5.01187234e+00    5.91481251e-02    2.35901726e-01   -1.48573373e-05   -5.92558345e-05
8        6.30957344e+00    9.06088183e-02    2.87052017e-01   -2.27599061e-05   -7.21042066e-05
9        7.94328235e+00    1.36377758e-01    3.43189256e-01   -3.42565440e-05   -8.62052435e-05
10       1.00000000e+01    2.00176794e-01    4.00132534e-01   -5.02821372e-05   -1.00508748e-04
11       1.25892541e+01    2.84006747e-01    4.50940035e-01   -7.13392695e-05   -1.13271015e-04
12       1.58489319e+01    3.86000434e-01    4.86830668e-01   -9.69589252e-05   -1.22286335e-04
13       1.99526231e+01    4.99090323e-01    4.99999172e-01   -1.25365821e-04   -1.25594114e-04
14       2.51188643e+01    6.12273363e-01    4.87231661e-01   -1.53796115e-04   -1.22387060e-04
15       3.16227766e+01    7.14511088e-01    4.51646978e-01   -1.79477071e-04   -1.13448592e-04
16       3.98107171e+01    7.98655504e-01    4.01004850e-01   -2.00613193e-04   -1.00727864e-04
17       5.01187234e+01    8.62762845e-01    3.44097542e-01   -2.16716228e-04   -8.64333946e-05
18       6.30957344e+01    9.08789741e-01    2.87907880e-01   -2.28277662e-04   -7.23191898e-05
19       7.94328235e+01    9.40445587e-01    2.36659427e-01   -2.36229251e-04   -5.94461604e-05
20       1.00000000e+02    9.61579291e-01    1.92209672e-01   -2.41537797e-04   -4.82808867e-05
21       1.25892541e+02    9.75409506e-01    1.54873502e-01   -2.45011790e-04   -3.89024649e-05
22       1.58489319e+02    9.84342355e-01    1.24147023e-01   -2.47255621e-04   -3.11843222e-05
