Index       TIME              V(1)            V(RC_OUT)         V(RG_OUT)    
228      2.98250000e-08    0.00000000e+00    1.46864026e-15    0.00000000e+00
229      2.99750000e-08    0.00000000e+00    1.47240600e-15    0.00000000e+00
230      3.01250000e-08    0.00000000e+00    1.47993749e-15    0.00000000e+00
231      3.02750000e-08    0.00000000e+00    1.48935185e-15    0.00000000e+00
232      3.04250000e-08    0.00000000e+00    1.49123472e-15    0.00000000e+00
233      3.05750000e-08    0.00000000e+00    1.49876621e-15    0.00000000e+00
234      3.07250000e-08    0.00000000e+00    1.50629770e-15    0.00000000e+00
235      3.08750000e-08    0.00000000e+00    1.33683921e-15    0.00000000e+00
236      3.10250000e-08    0.00000000e+00    1.24269560e-15    0.00000000e+00
237      3.11750000e-08    0.00000000e+00    1.17114646e-15    0.00000000e+00
238      3.13250000e-08    0.00000000e+00    1.11466030e-15    0.00000000e+00
239      3.14750000e-08    0.00000000e+00    1.06570562e-15    0.00000000e+00
240      3.16250000e-08    0.00000000e+00    1.02051669e-15    0.00000000e+00
241      3.17750000e-08    0.00000000e+00    9.84742122e-16    0.00000000e+00
242      3.19250000e-08    0.00000000e+00    7.68211827e-16    0.00000000e+00
243      3.20750000e-08    0.00000000e+00    6.32645034e-16    0.00000000e+00
244      3.22250000e-08    0.00000000e+00    5.25321323e-16    0.00000000e+00
245      3.23750000e-08    0.00000000e+00    4.31177717e-16    0.00000000e+00
246      3.25250000e-08    0.00000000e+00    3.48331343e-16    0.00000000e+00
247      3.26750000e-08    0.00000000e+00    2.74899330e-16    0.00000000e+00
248      3.28250000e-08    0.00000000e+00    2.07115934e-16    0.00000000e+00
249      3.29750000e-08    0.00000000e+00    1.39332537e-16    0.00000000e+00
250      3.31250000e-08    0.00000000e+00    7.90806293e-17    0.00000000e+00
251      3.32750000e-08    0.00000000e+00    2.07115934e-17    0.00000000e+00
252      3.34250000e-08    0.00000000e+00   -3.57745704e-17    0.00000000e+00
