Index        TIME          {1.0+V(5)}
357     1.36390532e-08   4.57023369e-01   
358     1.36505064e-08   4.57859409e-01   
359     1.36734128e-08   4.59494734e-01   
360     1.37192257e-08   4.62939462e-01   
361     1.37650386e-08   4.66486355e-01   
362     1.38108514e-08   4.70446310e-01   
363     1.38566643e-08   4.75750418e-01   
364     1.39482900e-08   4.92593775e-01   
365     1.40399157e-08   5.11944260e-01   
366     1.41315414e-08   5.25377258e-01   
367     1.42231672e-08   5.34810896e-01   
368     1.43147929e-08   5.42609298e-01   
369     1.44050157e-08   5.57054697e-01   
370     1.44141783e-08   5.58707259e-01   
371     1.44325034e-08   5.61847377e-01   
372     1.44691537e-08   5.67333113e-01   
373     1.45424543e-08   5.78093326e-01   
374     1.46424543e-08   5.86060887e-01   
375     1.46933884e-08   5.86913082e-01   
376     1.47010612e-08   5.87329088e-01   
377     1.47164066e-08   5.88477008e-01   
378     1.47470975e-08   5.92654117e-01   
379     1.47701157e-08   5.97867886e-01   
380     1.47762539e-08   5.99453199e-01   
381     1.47885302e-08   6.02939101e-01   
382     1.48130830e-08   6.10847902e-01   
383     1.48621884e-08   6.28579945e-01   
384     1.49075543e-08   6.45594087e-01   
385     1.49173754e-08   6.49261113e-01   
386     1.49370175e-08   6.56516711e-01   
387     1.49763019e-08   6.70576108e-01   
388     1.50548706e-08   6.94870517e-01   
389     1.51548706e-08   7.17647489e-01   
390     1.52548706e-08   7.50249250e-01   
391     1.53548706e-08   7.80274940e-01   
392     1.54199706e-08   8.00949860e-01   
393     1.54299706e-08   8.04045332e-01   
394     1.54499706e-08   8.09729145e-01   
395     1.54899706e-08   8.18460205e-01   
396     1.55699706e-08   8.28530924e-01   
397     1.56699706e-08   8.35891309e-01   
398     1.57199706e-08   8.37193559e-01   
399     1.57299706e-08   8.37367954e-01   
400     1.57499706e-08   8.37546122e-01   
401     1.57899706e-08   8.37268354e-01   
402     1.58699706e-08   8.33632726e-01   
403     1.59499706e-08   8.21656424e-01   
404     1.60499706e-08   8.04617859e-01   
405     1.61499706e-08   7.92613711e-01   
406     1.62499706e-08   7.76935654e-01   
407     1.63150706e-08   7.56629944e-01   
408     1.63250706e-08   7.53025393e-01   
409     1.63350706e-08   7.49335149e-01   
410     1.63550706e-08   7.41555965e-01   
411     1.63950706e-08   7.26146230e-01   
412     1.64750706e-08   6.96450454e-01   
413     1.65550706e-08   6.72952845e-01   
414     1.66350706e-08   6.57672777e-01   
415     1.67150706e-08   6.41246244e-01   
416     1.67950706e-08   6.29548555e-01   
417     1.68750706e-08   6.11264216e-01   
418     1.69550706e-08   5.91017818e-01   
419     1.70350706e-08   5.89810935e-01   
420     1.71150706e-08   6.11386636e-01   
421     1.71735174e-08   6.46883424e-01   
422     1.71815174e-08   6.52375195e-01   
423     1.71895174e-08   6.58020553e-01   
424     1.72055174e-08   6.69684446e-01   
425     1.72375174e-08   6.94187350e-01   
426     1.73015174e-08   7.31806050e-01   
427     1.73655174e-08   7.59079352e-01   
428     1.74001705e-08   7.74462413e-01   
429     1.74101705e-08   7.79088760e-01   
430     1.74201705e-08   7.83365014e-01   
431     1.74401705e-08   7.89105423e-01   
432     1.74801705e-08   7.90912113e-01   
433     1.75601705e-08   7.78386748e-01   
434     1.76401705e-08   7.71028262e-01   
435     1.76666174e-08   7.73051003e-01   
436     1.76746174e-08   7.74518474e-01   
437     1.76826174e-08   7.76265664e-01   
438     1.76986174e-08   7.80587255e-01   
439     1.77306174e-08   7.92104854e-01   
440     1.77946174e-08   8.23592200e-01   
441     1.78946174e-08   8.65020602e-01   
442     1.79147621e-08   8.68538223e-01   
443     1.79247621e-08   8.70255429e-01   
444     1.79347621e-08   8.71135851e-01   
445     1.79547621e-08   8.71779586e-01   
446     1.79947621e-08   8.71428701e-01   
447     1.80181813e-08   8.72077877e-01   
448     1.80261813e-08   8.72181710e-01   
449     1.80341813e-08   8.72227370e-01   
450     1.80501813e-08   8.72616014e-01   
451     1.80821813e-08   8.74309136e-01   
452     1.81461813e-08   8.82938773e-01   
453     1.82101813e-08   9.13088840e-01   
454     1.82458427e-08   9.36964147e-01   
455     1.82522427e-08   9.41601498e-01   
456     1.82586427e-08   9.46228835e-01   
457     1.82714427e-08   9.56246279e-01   
458     1.82970427e-08   9.77490879e-01   
459     1.83482427e-08   1.01691768e+00   
460     1.83994427e-08   1.05167836e+00   
461     1.84472813e-08   1.07462427e+00   
462     1.84572813e-08   1.07844839e+00   
463     1.84672813e-08   1.08194176e+00   
464     1.84872813e-08   1.08809975e+00   
465     1.85272813e-08   1.09925262e+00   
466     1.86072813e-08   1.11722965e+00   
467     1.86872813e-08   1.13933472e+00   
468     1.87672813e-08   1.15847562e+00   
469     1.88472813e-08   1.16891070e+00   
470     1.88582590e-08   1.16976809e+00   
471     1.88616713e-08   1.17001948e+00   
472     1.88684957e-08   1.17048317e+00   
473     1.88821446e-08   1.17125939e+00   
474     1.88923813e-08   1.17170710e+00   
475     1.88951111e-08   1.17182163e+00   
476     1.89005706e-08   1.17203185e+00   
477     1.89114898e-08   1.17237685e+00   
478     1.89333280e-08   1.17270347e+00   
479     1.89723813e-08   1.17218233e+00   
480     1.89767489e-08   1.17227476e+00   
481     1.89854842e-08   1.17247891e+00   
482     1.90029548e-08   1.17298654e+00   
483     1.90378960e-08   1.17433207e+00   
484     1.91077784e-08   1.18042085e+00   
485     1.91776608e-08   1.19074190e+00   
486     1.92475432e-08   1.20260795e+00   
487     1.93475432e-08   1.21483972e+00   
488     1.94475432e-08   1.22005176e+00   
489     1.94995037e-08   1.22066947e+00   
490     1.95095037e-08   1.22073416e+00   
491     1.95295037e-08   1.22076590e+00   
492     1.95695037e-08   1.22059954e+00   
493     1.95995037e-08   1.22029945e+00   
494     1.96075037e-08   1.22019344e+00   
495     1.96235037e-08   1.22000574e+00   
496     1.96555037e-08   1.21963653e+00   
497     1.97195037e-08   1.21886649e+00   
498     1.98195037e-08   1.21883350e+00   
499     1.99195037e-08   1.22030321e+00   
500     2.00195037e-08   1.22258172e+00   
501     2.01195037e-08   1.22435364e+00   
502     2.01846037e-08   1.22482895e+00   
503     2.01919892e-08   1.22486732e+00   
504     2.02067603e-08   1.22493158e+00   
505     2.02363024e-08   1.22500667e+00   
506     2.02584590e-08   1.22503208e+00   
507     2.02610735e-08   1.22503299e+00   
508     2.02663024e-08   1.22503357e+00   
509     2.02767603e-08   1.22502979e+00   
510     2.02846037e-08   1.22502263e+00   
511     2.02866953e-08   1.22502460e+00   
512     2.02908784e-08   1.22502827e+00   
513     2.02992447e-08   1.22503466e+00   
514     2.03159773e-08   1.22504508e+00   
515     2.03384590e-08   1.22502064e+00   
516     2.03418055e-08   1.22501746e+00   
517     2.03484986e-08   1.22501007e+00   
518     2.03618847e-08   1.22499107e+00   
519     2.03886568e-08   1.22495103e+00   
520     2.04422011e-08   1.22499176e+00   
521     2.04946037e-08   1.22512389e+00   
522     2.05046037e-08   1.22514786e+00   
523     2.05246037e-08   1.22522299e+00   
524     2.05646037e-08   1.22540445e+00   
525     2.06446037e-08   1.22567186e+00   
526     2.07446037e-08   1.22559611e+00   
527     2.08446037e-08   1.22487121e+00   
528     2.09409059e-08   1.22365971e+00   
529     2.09509059e-08   1.22351863e+00   
530     2.09709059e-08   1.22322360e+00   
531     2.10109059e-08   1.22258341e+00   
532     2.10909059e-08   1.22117758e+00   
533     2.11909059e-08   1.21920372e+00   
534     2.12909059e-08   1.21730097e+00   
535     2.13909059e-08   1.21572791e+00   
536     2.14560058e-08   1.21449674e+00   
537     2.14602058e-08   1.21439858e+00   
538     2.14686058e-08   1.21419465e+00   
539     2.14854058e-08   1.21376254e+00   
540     2.14980058e-08   1.21340620e+00   
541     2.15013658e-08   1.21331223e+00   
542     2.15080858e-08   1.21312035e+00   
543     2.15215258e-08   1.21272083e+00   
544     2.15484058e-08   1.21185888e+00   
545     2.16021658e-08   1.20989476e+00   
546     2.16559258e-08   1.20770251e+00   
