Index        TIME             V(1)             V(2)             V(3)             V(4)
254     1.79750023e-04   3.79778015e-01   1.89889007e-01   3.79778015e-01   1.89889007e-01   
255     1.80456545e-04   3.46692560e-01   1.73346280e-01   3.46692560e-01   1.73346280e-01   
256     1.81163067e-04   3.13169895e-01   1.56584947e-01   3.13169895e-01   1.56584947e-01   
257     1.81869589e-04   2.79252295e-01   1.39626148e-01   2.79252295e-01   1.39626148e-01   
258     1.82576111e-04   2.44982534e-01   1.22491267e-01   2.44982534e-01   1.22491267e-01   
259     1.83282632e-04   2.10403829e-01   1.05201914e-01   2.10403829e-01   1.05201914e-01   
260     1.83989154e-04   1.75559786e-01   8.77798929e-02   1.75559786e-01   8.77798929e-02   
261     1.84695676e-04   1.40494346e-01   7.02471732e-02   1.40494346e-01   7.02471732e-02   
262     1.85402198e-04   1.05251731e-01   5.26258657e-02   1.05251731e-01   5.26258657e-02   
263     1.86108720e-04   6.98763846e-02   3.49381923e-02   6.98763846e-02   3.49381923e-02   
264     1.86815242e-04   3.44129177e-02   1.72064589e-02   3.44129177e-02   1.72064589e-02   
265     1.87521763e-04   -1.09394690e-03  -5.46973450e-04  -1.09394690e-03  -5.46973450e-04  
266     1.88228285e-04   -3.65994320e-02  -1.82997160e-02  -3.65994320e-02  -1.82997160e-02  
267     1.88934807e-04   -7.20587619e-02  -3.60293810e-02  -7.20587619e-02  -3.60293810e-02  
268     1.89641329e-04   -1.07427219e-01  -5.37136097e-02  -1.07427219e-01  -5.37136097e-02  
269     1.90347851e-04   -1.42660202e-01  -7.13301010e-02  -1.42660202e-01  -7.13301010e-02  
270     1.91054373e-04   -1.77713277e-01  -8.88566387e-02  -1.77713277e-01  -8.88566387e-02  
271     1.91760894e-04   -2.12542241e-01  -1.06271120e-01  -2.12542241e-01  -1.06271120e-01  
272     1.92467416e-04   -2.47103170e-01  -1.23551585e-01  -2.47103170e-01  -1.23551585e-01  
273     1.93173938e-04   -2.81352480e-01  -1.40676240e-01  -2.81352480e-01  -1.40676240e-01  
274     1.93880460e-04   -3.15246980e-01  -1.57623490e-01  -3.15246980e-01  -1.57623490e-01  
275     1.94586982e-04   -3.48743927e-01  -1.74371963e-01  -3.48743927e-01  -1.74371963e-01  
276     1.95293504e-04   -3.81801076e-01  -1.90900538e-01  -3.81801076e-01  -1.90900538e-01  
277     1.96000025e-04   -4.14376741e-01  -2.07188371e-01  -4.14376741e-01  -2.07188371e-01  
278     1.96706547e-04   -4.46429841e-01  -2.23214920e-01  -4.46429841e-01  -2.23214920e-01  
279     1.97413069e-04   -4.77919953e-01  -2.38959977e-01  -4.77919953e-01  -2.38959977e-01  
