Index     V(DRAIN)           V(GATE)          N(M1:IDS)     {(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}     N(M1:GM)      {N(M1:GM)-{(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}}     N(M1:VTH)         N(M1:VDS)         N(M1:VBS)         N(M1:VGS)        N(M1:VDSAT)   
70      -3.00000000e-02    0.00000000e+00    3.58826360e-09    1.18892631e-07    1.18892566e-07   -6.50867486e-14    3.04197427e-01    6.00000000e-02   -3.00000000e-02    3.00000000e-02    7.43040698e-02
71      -2.90000000e-02    0.00000000e+00    3.42730669e-09    1.13580511e-07    1.13580508e-07   -2.25602097e-15    3.04204998e-01    5.80000000e-02   -2.90000000e-02    2.90000000e-02    7.43034694e-02
72      -2.80000000e-02    0.00000000e+00    3.27109258e-09    1.08423174e-07    1.08423137e-07   -3.74900573e-14    3.04212376e-01    5.60000000e-02   -2.80000000e-02    2.80000000e-02    7.43028905e-02
73      -2.70000000e-02    0.00000000e+00    3.11937332e-09    1.03412399e-07    1.03412383e-07   -1.64222579e-14    3.04219557e-01    5.40000000e-02   -2.70000000e-02    2.70000000e-02    7.43023324e-02
74      -2.60000000e-02    0.00000000e+00    2.97190422e-09    9.85403127e-08    9.85402788e-08   -3.39126276e-14    3.04226534e-01    5.20000000e-02   -2.60000000e-02    2.60000000e-02    7.43017943e-02
75      -2.50000000e-02    0.00000000e+00    2.82844456e-09    9.37990136e-08    9.37989800e-08   -3.36021054e-14    3.04233304e-01    5.00000000e-02   -2.50000000e-02    2.50000000e-02    7.43012756e-02
76      -2.40000000e-02    0.00000000e+00    2.68875853e-09    8.91808310e-08    8.91807974e-08   -3.35703372e-14    3.04239860e-01    4.80000000e-02   -2.40000000e-02    2.40000000e-02    7.43007755e-02
77      -2.30000000e-02    0.00000000e+00    2.55261647e-09    8.46782533e-08    8.46782386e-08   -1.47215399e-14    3.04246198e-01    4.60000000e-02   -2.30000000e-02    2.30000000e-02    7.43002933e-02
78      -2.20000000e-02    0.00000000e+00    2.41979611e-09    8.02840972e-08    8.02840500e-08   -4.72184057e-14    3.04252312e-01    4.40000000e-02   -2.20000000e-02    2.20000000e-02    7.42998285e-02
79      -2.10000000e-02    0.00000000e+00    2.29008383e-09    7.59912819e-08    7.59912589e-08   -2.30028022e-14    3.04258198e-01    4.20000000e-02   -2.10000000e-02    2.10000000e-02    7.42993804e-02
80      -2.00000000e-02    0.00000000e+00    2.16327574e-09    7.17932139e-08    7.17932095e-08   -4.45210259e-15    3.04263850e-01    4.00000000e-02   -2.00000000e-02    2.00000000e-02    7.42989484e-02
81      -1.90000000e-02    0.00000000e+00    2.03917846e-09    6.76835903e-08    6.76835898e-08   -5.00808773e-16    3.04269264e-01    3.80000000e-02   -1.90000000e-02    1.90000000e-02    7.42985319e-02
82      -1.80000000e-02    0.00000000e+00    1.91760956e-09    6.36564448e-08    6.36564459e-08    1.10982211e-15    3.04274434e-01    3.60000000e-02   -1.80000000e-02    1.80000000e-02    7.42981304e-02
83      -1.70000000e-02    0.00000000e+00    1.79839758e-09    5.97061857e-08    5.97061838e-08   -1.95662882e-15    3.04279356e-01    3.40000000e-02   -1.70000000e-02    1.70000000e-02    7.42977433e-02
84      -1.60000000e-02    0.00000000e+00    1.68138163e-09    5.58275644e-08    5.58275563e-08   -8.13719351e-15    3.04284025e-01    3.20000000e-02   -1.60000000e-02    1.60000000e-02    7.42973701e-02
85      -1.50000000e-02    0.00000000e+00    1.56641067e-09    5.20156386e-08    5.20156396e-08    9.74267077e-16    3.04288437e-01    3.00000000e-02   -1.50000000e-02    1.50000000e-02    7.42970104e-02
