Index    TIME    V(5)mean    V(5)meanPlus    V(5)meanMinus    V(5)meanPlusTwoSigma    V(5)meanMinusTwoSigma    V(5)stddev    V(5)variance    V(5)quad_pce_mean    V(5)quad_pce_meanPlus    V(5)quad_pce_meanMinus    V(5)quad_pce_meanPlusTwoSigma    V(5)quad_pce_meanMinusTwoSigma    V(5)quad_pce_stddev    V(5)quad_pce_variance    V(2)mean    V(2)meanPlus    V(2)meanMinus    V(2)meanPlusTwoSigma    V(2)meanMinusTwoSigma    V(2)stddev    V(2)variance    V(2)quad_pce_mean    V(2)quad_pce_meanPlus    V(2)quad_pce_meanMinus    V(2)quad_pce_meanPlusTwoSigma    V(2)quad_pce_meanMinusTwoSigma    V(2)quad_pce_stddev    V(2)quad_pce_variance    
34   2.08215200e-09   2.55748200e+00   2.58553800e+00   2.52942600e+00   2.61359400e+00   2.50136900e+00   2.80562700e-02   7.87154000e-04   2.56021900e+00   2.57694900e+00   2.54348900e+00   2.59367900e+00   2.52675900e+00   1.67299900e-02   2.79892400e-04   2.55294200e+00   2.59833300e+00   2.50755100e+00   2.64372400e+00   2.46216000e+00   4.53910500e-02   2.06034700e-03   2.55793700e+00   2.58388600e+00   2.53198800e+00   2.60983500e+00   2.50604000e+00   2.59488200e-02   6.73341400e-04   
35   2.10928500e-09   2.54864400e+00   2.57903100e+00   2.51825800e+00   2.60941700e+00   2.48787100e+00   3.03864600e-02   9.23337000e-04   2.55168700e+00   2.56968100e+00   2.53369300e+00   2.58767600e+00   2.51569900e+00   1.79942100e-02   3.23791600e-04   2.53495100e+00   2.57961600e+00   2.49028600e+00   2.62428000e+00   2.44562200e+00   4.46646500e-02   1.99493100e-03   2.53988600e+00   2.56546000e+00   2.51431300e+00   2.59103300e+00   2.48874000e+00   2.55731300e-02   6.53984900e-04   
36   2.13641800e-09   2.53937800e+00   2.57244900e+00   2.50630700e+00   2.60552000e+00   2.47323600e+00   3.30711500e-02   1.09370100e-03   2.54277400e+00   2.56222200e+00   2.52332600e+00   2.58167000e+00   2.50387800e+00   1.94480700e-02   3.78227600e-04   2.51764800e+00   2.56169900e+00   2.47359800e+00   2.60574900e+00   2.42954700e+00   4.40505500e-02   1.94045100e-03   2.52243500e+00   2.54771800e+00   2.49715300e+00   2.57300100e+00   2.47187000e+00   2.52826700e-02   6.39213600e-04   
37   2.19068400e-09   2.52033000e+00   2.56003800e+00   2.48062100e+00   2.59974700e+00   2.44091200e+00   3.97088600e-02   1.57679300e-03   2.52461100e+00   2.54767800e+00   2.50154400e+00   2.57074500e+00   2.47847700e+00   2.30669200e-02   5.32082900e-04   2.48667600e+00   2.52980100e+00   2.44355000e+00   2.57292600e+00   2.40042500e+00   4.31252000e-02   1.85978300e-03   2.49116100e+00   2.51605500e+00   2.46626700e+00   2.54094800e+00   2.44137300e+00   2.48938500e-02   6.19703800e-04   
38   2.29921500e-09   2.48183600e+00   2.54667600e+00   2.41699600e+00   2.61151600e+00   2.35215700e+00   6.48397900e-02   4.20419900e-03   2.48947900e+00   2.52655500e+00   2.45240300e+00   2.56363200e+00   2.41532600e+00   3.70763000e-02   1.37465200e-03   2.43693200e+00   2.47921600e+00   2.39464800e+00   2.52150000e+00   2.35236300e+00   4.22842800e-02   1.78796000e-03   2.44091500e+00   2.46570500e+00   2.41612500e+00   2.49049500e+00   2.39133500e+00   2.47899300e-02   6.14540500e-04   
39   2.40774600e-09   2.44311700e+00   2.55844700e+00   2.32778700e+00   2.67377700e+00   2.21245700e+00   1.15329900e-01   1.33009900e-02   2.45754500e+00   2.52298200e+00   2.39210800e+00   2.58842000e+00   2.32667000e+00   6.54373900e-02   4.28205200e-03   2.40375600e+00   2.44773800e+00   2.35977300e+00   2.49172100e+00   2.31579000e+00   4.39827700e-02   1.93448400e-03   2.40763200e+00   2.43381000e+00   2.38145500e+00   2.45998800e+00   2.35527700e+00   2.61777200e-02   6.85272800e-04   
40   2.51627800e-09   2.41427800e+00   2.55626600e+00   2.27229000e+00   2.69825400e+00   2.13030200e+00   1.41988100e-01   2.01606200e-02   2.43228400e+00   2.51273600e+00   2.35183200e+00   2.59318700e+00   2.27138100e+00   8.04516900e-02   6.47247400e-03   2.38480800e+00   2.43108000e+00   2.33853700e+00   2.47735100e+00   2.29226600e+00   4.62712900e-02   2.14103300e-03   2.38873900e+00   2.41657600e+00   2.36090100e+00   2.44441400e+00   2.33306400e+00   2.78374700e-02   7.74925000e-04   
41   2.61395600e-09   2.39492200e+00   2.54549800e+00   2.24434700e+00   2.69607300e+00   2.09377100e+00   1.50575400e-01   2.26729500e-02   2.41407400e+00   2.49936700e+00   2.32878000e+00   2.58466100e+00   2.24348700e+00   8.52934800e-02   7.27497700e-03   2.37882700e+00   2.42561000e+00   2.33204400e+00   2.47239300e+00   2.28526100e+00   4.67829400e-02   2.18864400e-03   2.38262300e+00   2.41109800e+00   2.35414800e+00   2.43957300e+00   2.32567300e+00   2.84750700e-02   8.10829400e-04   
42   2.71163400e-09   2.37821900e+00   2.53571000e+00   2.22072800e+00   2.69320100e+00   2.06323700e+00   1.57491000e-01   2.48034300e-02   2.39829600e+00   2.48750000e+00   2.30909100e+00   2.57670500e+00   2.21988700e+00   8.92045200e-02   7.95744600e-03   2.38066500e+00   2.42857900e+00   2.33275100e+00   2.47649300e+00   2.28483700e+00   4.79140700e-02   2.29575800e-03   2.38449100e+00   2.41383400e+00   2.35514800e+00   2.44317700e+00   2.32580500e+00   2.93430500e-02   8.61014900e-04   
43   2.80931300e-09   2.36373000e+00   2.52228800e+00   2.20517300e+00   2.68084500e+00   2.04661600e+00   1.58557400e-01   2.51404500e-02   2.38396300e+00   2.47381200e+00   2.29411400e+00   2.56366100e+00   2.20426500e+00   8.98490200e-02   8.07284600e-03   2.38940000e+00   2.43838900e+00   2.34041000e+00   2.48737900e+00   2.29142000e+00   4.89897800e-02   2.39999800e-03   2.39332400e+00   2.42343400e+00   2.36321400e+00   2.45354500e+00   2.33310400e+00   3.01101800e-02   9.06622900e-04   
