Index    TIME    {V(DRAIN)}_quad_pce_mean    {V(DRAIN)}_quad_pce_meanPlus    {V(DRAIN)}_quad_pce_meanMinus    {V(DRAIN)}_quad_pce_stddev    {V(DRAIN)}_quad_pce_variance    
162   9.47306200e-07   1.10871500e-01   3.63762700e-01   -1.42019700e-01   2.52891200e-01   6.39539600e-02   
163   9.47541200e-07   1.18068000e-01   3.80019600e-01   -1.43883700e-01   2.61951600e-01   6.86186400e-02   
164   9.47776300e-07   1.25263200e-01   3.95263100e-01   -1.44736700e-01   2.69999900e-01   7.28999400e-02   
165   9.48011300e-07   1.32685100e-01   4.10556000e-01   -1.45185700e-01   2.77870900e-01   7.72122100e-02   
166   9.48246400e-07   1.40133700e-01   4.25204500e-01   -1.44937100e-01   2.85070800e-01   8.12653700e-02   
167   9.48481400e-07   1.47374800e-01   4.38327900e-01   -1.43578300e-01   2.90953100e-01   8.46537100e-02   
168   9.48716500e-07   1.54667500e-01   4.50923700e-01   -1.41588600e-01   2.96256100e-01   8.77677000e-02   
169   9.49186600e-07   1.70406000e-01   4.78398200e-01   -1.37586200e-01   3.07992200e-01   9.48592000e-02   
170   9.49656700e-07   1.87875300e-01   5.09781900e-01   -1.34031300e-01   3.21906600e-01   1.03623900e-01   
171   9.50126800e-07   2.06419100e-01   5.43128800e-01   -1.30290600e-01   3.36709700e-01   1.13373400e-01   
172   9.50549900e-07   2.23102700e-01   5.71847300e-01   -1.25641900e-01   3.48744600e-01   1.21622800e-01   
173   9.50904700e-07   2.37699400e-01   5.96776200e-01   -1.21377300e-01   3.59076800e-01   1.28936100e-01   
174   9.51259400e-07   2.53490800e-01   6.24415500e-01   -1.17434000e-01   3.70924700e-01   1.37585200e-01   
175   9.51614200e-07   2.70311700e-01   6.54354300e-01   -1.13730900e-01   3.84042600e-01   1.47488700e-01   
176   9.51968900e-07   2.87848300e-01   6.85869900e-01   -1.10173300e-01   3.98021600e-01   1.58421200e-01   
177   9.52323600e-07   3.05617700e-01   7.17787800e-01   -1.06552400e-01   4.12170100e-01   1.69884200e-01   
178   9.52642900e-07   3.21268000e-01   7.45501000e-01   -1.02965100e-01   4.24233100e-01   1.79973700e-01   
