Index      TIME           V(1)           V(2)           V(3)           I(VMON)
133     1.27805526e-03   3.29812256e+02   2.47170856e+02   1.27417290e+02   2.99383916e+01   
134     1.28805526e-03   3.29063128e+02   2.48933206e+02   1.28962608e+02   2.99926496e+01   
135     1.29805526e-03   3.28312665e+02   2.50688705e+02   1.30507764e+02   3.00452351e+01   
136     1.30805526e-03   3.27560908e+02   2.52437102e+02   1.32052494e+02   3.00961519e+01   
137     1.31805526e-03   3.26807899e+02   2.54178150e+02   1.33596534e+02   3.01454041e+01   
138     1.32805526e-03   3.26053680e+02   2.55911601e+02   1.35139618e+02   3.01929958e+01   
139     1.33805526e-03   3.25298291e+02   2.57637210e+02   1.36681485e+02   3.02389312e+01   
140     1.34805526e-03   3.24541774e+02   2.59354731e+02   1.38221871e+02   3.02832151e+01   
141     1.35805526e-03   3.23784171e+02   2.61063922e+02   1.39760514e+02   3.03258520e+01   
142     1.36805526e-03   3.23025523e+02   2.62764541e+02   1.41297153e+02   3.03668470e+01   
143     1.37805526e-03   3.22265870e+02   2.64456350e+02   1.42831530e+02   3.04062051e+01   
144     1.38805526e-03   3.21505253e+02   2.66139110e+02   1.44363383e+02   3.04439317e+01   
145     1.39805526e-03   3.20743714e+02   2.67812585e+02   1.45892457e+02   3.04800321e+01   
146     1.40805526e-03   3.19981292e+02   2.69476542e+02   1.47418494e+02   3.05145122e+01   
147     1.41805526e-03   3.19218029e+02   2.71130749e+02   1.48941238e+02   3.05473776e+01   
148     1.42805526e-03   3.18453964e+02   2.72774975e+02   1.50460437e+02   3.05786346e+01   
149     1.43805526e-03   3.17689137e+02   2.74408994e+02   1.51975838e+02   3.06082892e+01   
150     1.44805526e-03   3.16923589e+02   2.76032581e+02   1.53487190e+02   3.06363478e+01   
151     1.45805526e-03   3.16157360e+02   2.77645511e+02   1.54994243e+02   3.06628171e+01   
152     1.46805526e-03   3.15390488e+02   2.79247566e+02   1.56496751e+02   3.06877037e+01   
153     1.47805526e-03   3.14623014e+02   2.80838527e+02   1.57994469e+02   3.07110145e+01   
154     1.48805526e-03   3.13854977e+02   2.82418178e+02   1.59487151e+02   3.07327567e+01   
155     1.49805526e-03   3.13086415e+02   2.83986307e+02   1.60974557e+02   3.07529375e+01   
156     1.50805526e-03   3.12317369e+02   2.85542704e+02   1.62456447e+02   3.07715643e+01   
157     1.51805526e-03   3.11547876e+02   2.87087161e+02   1.63932582e+02   3.07886447e+01   
158     1.52805526e-03   3.10777975e+02   2.88619474e+02   1.65402729e+02   3.08041863e+01   
159     1.53805526e-03   3.10007705e+02   2.90139442e+02   1.66866653e+02   3.08181972e+01   
160     1.54805526e-03   3.09237103e+02   2.91646866e+02   1.68324124e+02   3.08306854e+01   
161     1.55805526e-03   3.08466209e+02   2.93141550e+02   1.69774914e+02   3.08416591e+01   
162     1.56805526e-03   3.07695058e+02   2.94623302e+02   1.71218795e+02   3.08511267e+01   
163     1.57805526e-03   3.06923690e+02   2.96091932e+02   1.72655546e+02   3.08590966e+01   
164     1.58805526e-03   3.06152141e+02   2.97547255e+02   1.74084944e+02   3.08655777e+01   
165     1.59805526e-03   3.05380448e+02   2.98989087e+02   1.75506772e+02   3.08705786e+01   
166     1.60805526e-03   3.04608649e+02   3.00417248e+02   1.76920814e+02   3.08741085e+01   
167     1.61805526e-03   3.03836779e+02   3.01831563e+02   1.78326858e+02   3.08761763e+01   
168     1.62805526e-03   3.03064876e+02   3.03231858e+02   1.79724693e+02   3.08767913e+01   
169     1.63805526e-03   3.02292976e+02   3.04617964e+02   1.81114112e+02   3.08759630e+01   
170     1.64805526e-03   3.01521114e+02   3.05989714e+02   1.82494911e+02   3.08737009e+01   
171     1.65805526e-03   3.00749327e+02   3.07346947e+02   1.83866889e+02   3.08700146e+01   
172     1.66805526e-03   2.99977649e+02   3.08689494e+02   1.85229839e+02   3.08649139e+01   
173     1.67805526e-03   2.99206116e+02   3.10005982e+02   1.86572327e+02   3.08584137e+01   
174     1.68805526e-03   2.98434763e+02   3.11286682e+02   1.87884542e+02   3.08505350e+01   
175     1.69805526e-03   2.97663624e+02   3.12532071e+02   1.89166869e+02   3.08413006e+01   
176     1.70805526e-03   2.96892731e+02   3.13742631e+02   1.90419696e+02   3.08307336e+01   
177     1.71805526e-03   2.96122120e+02   3.14918833e+02   1.91643405e+02   3.08188572e+01   
178     1.72805526e-03   2.95351821e+02   3.16061145e+02   1.92838368e+02   3.08056942e+01   
179     1.73805526e-03   2.94581867e+02   3.17170022e+02   1.94004953e+02   3.07912674e+01   
180     1.74805526e-03   2.93812289e+02   3.18245915e+02   1.95143519e+02   3.07755990e+01   
181     1.75805526e-03   2.93043118e+02   3.19289265e+02   1.96254420e+02   3.07587113e+01   
182     1.76805526e-03   2.92274384e+02   3.20300507e+02   1.97338003e+02   3.07406260e+01   
183     1.77805526e-03   2.91506116e+02   3.21280080e+02   1.98394621e+02   3.07213647e+01   
184     1.78805526e-03   2.90738345e+02   3.22228384e+02   1.99424590e+02   3.07009487e+01   
185     1.79805526e-03   2.89971097e+02   3.23145848e+02   2.00428252e+02   3.06793990e+01   
186     1.80805526e-03   2.89204403e+02   3.24032880e+02   2.01405934e+02   3.06567365e+01   
187     1.81805526e-03   2.88438288e+02   3.24889887e+02   2.02357960e+02   3.06329816e+01   
188     1.82805526e-03   2.87672781e+02   3.25717267e+02   2.03284648e+02   3.06081546e+01   
189     1.83805526e-03   2.86907907e+02   3.26515415e+02   2.04186313e+02   3.05822756e+01   
190     1.84805526e-03   2.86143693e+02   3.27284722e+02   2.05063265e+02   3.05553644e+01   
191     1.85805526e-03   2.85380164e+02   3.28025573e+02   2.05915811e+02   3.05274405e+01   
192     1.86805526e-03   2.84617346e+02   3.28738349e+02   2.06744257e+02   3.04985232e+01   
193     1.87805526e-03   2.83855263e+02   3.29423427e+02   2.07548901e+02   3.04686315e+01   
194     1.88805526e-03   2.83093939e+02   3.30081180e+02   2.08330042e+02   3.04377845e+01   
195     1.89805526e-03   2.82333397e+02   3.30711976e+02   2.09087974e+02   3.04060005e+01   
196     1.90805526e-03   2.81573662e+02   3.31316180e+02   2.09822988e+02   3.03732981e+01   
197     1.91805526e-03   2.80814755e+02   3.31894154e+02   2.10535373e+02   3.03396953e+01   
198     1.92805526e-03   2.80056699e+02   3.32446255e+02   2.11225414e+02   3.03052101e+01   
199     1.93805526e-03   2.79299516e+02   3.32972837e+02   2.11893396e+02   3.02698603e+01   
200     1.94805526e-03   2.78543228e+02   3.33474250e+02   2.12539597e+02   3.02336632e+01   
201     1.95805526e-03   2.77787854e+02   3.33950841e+02   2.13164296e+02   3.01966362e+01   
202     1.96805526e-03   2.77033416e+02   3.34402955e+02   2.13767770e+02   3.01587963e+01   
203     1.97805526e-03   2.76279934e+02   3.34830931e+02   2.14350290e+02   3.01201603e+01   
204     1.98805526e-03   2.75527428e+02   3.35235107e+02   2.14912128e+02   3.00807449e+01   
205     1.99805526e-03   2.74775916e+02   3.35615818e+02   2.15453552e+02   3.00405665e+01   
206     2.00805526e-03   2.74025419e+02   3.35973393e+02   2.15974828e+02   2.99996412e+01   
207     2.01805526e-03   2.73275953e+02   3.36308161e+02   2.16476221e+02   2.99579852e+01   
208     2.02805526e-03   2.72527537e+02   3.36620448e+02   2.16957991e+02   2.99156141e+01   
209     2.03805526e-03   2.71780190e+02   3.36910574e+02   2.17420399e+02   2.98725435e+01   
210     2.04805526e-03   2.71033928e+02   3.37178858e+02   2.17863703e+02   2.98287889e+01   
211     2.05805526e-03   2.70288767e+02   3.37425618e+02   2.18288156e+02   2.97843655e+01   
212     2.06805526e-03   2.69544726e+02   3.37651165e+02   2.18694013e+02   2.97392881e+01   
213     2.07805526e-03   2.68801819e+02   3.37855811e+02   2.19081524e+02   2.96935717e+01   
214     2.08805526e-03   2.68060063e+02   3.38039862e+02   2.19450939e+02   2.96472307e+01   
215     2.09805526e-03   2.67319473e+02   3.38203623e+02   2.19802505e+02   2.96002797e+01   
216     2.10805526e-03   2.66580064e+02   3.38347397e+02   2.20136466e+02   2.95527327e+01   
217     2.11805526e-03   2.65841851e+02   3.38471481e+02   2.20453065e+02   2.95046039e+01   
218     2.12805526e-03   2.65104848e+02   3.38576172e+02   2.20752544e+02   2.94559071e+01   
219     2.13805526e-03   2.64369070e+02   3.38661763e+02   2.21035140e+02   2.94066558e+01   
220     2.14805526e-03   2.63634529e+02   3.38728546e+02   2.21301092e+02   2.93568636e+01   
221     2.15805526e-03   2.62901240e+02   3.38776808e+02   2.21550633e+02   2.93065437e+01   
222     2.16805526e-03   2.62169215e+02   3.38806835e+02   2.21783998e+02   2.92557093e+01   
223     2.17805526e-03   2.61438467e+02   3.38818908e+02   2.22001416e+02   2.92043731e+01   
224     2.18805526e-03   2.60709009e+02   3.38813308e+02   2.22203116e+02   2.91525481e+01   
225     2.19805526e-03   2.59980852e+02   3.38790312e+02   2.22389326e+02   2.91002466e+01   
226     2.20805526e-03   2.59254008e+02   3.38750195e+02   2.22560270e+02   2.90474812e+01   
227     2.21805526e-03   2.58528489e+02   3.38693228e+02   2.22716172e+02   2.89942639e+01   
228     2.22805526e-03   2.57804306e+02   3.38619680e+02   2.22857252e+02   2.89406069e+01   
229     2.23805526e-03   2.57081470e+02   3.38529818e+02   2.22983730e+02   2.88865219e+01   
230     2.24805526e-03   2.56359991e+02   3.38423905e+02   2.23095822e+02   2.88320208e+01   
231     2.25805526e-03   2.55639879e+02   3.38302204e+02   2.23193744e+02   2.87771149e+01   
232     2.26805526e-03   2.54921145e+02   3.38164972e+02   2.23277709e+02   2.87218157e+01   
233     2.27805526e-03   2.54203798e+02   3.38012466e+02   2.23347929e+02   2.86661343e+01   
234     2.28805526e-03   2.53487848e+02   3.37844939e+02   2.23404612e+02   2.86100818e+01   
235     2.29805526e-03   2.52773303e+02   3.37662641e+02   2.23447965e+02   2.85536691e+01   
236     2.30805526e-03   2.52060173e+02   3.37465822e+02   2.23478195e+02   2.84969067e+01   
237     2.31805526e-03   2.51348466e+02   3.37254726e+02   2.23495504e+02   2.84398054e+01   
238     2.32805526e-03   2.50638191e+02   3.37029597e+02   2.23500095e+02   2.83823755e+01   
239     2.33805526e-03   2.49929356e+02   3.36790674e+02   2.23492166e+02   2.83246271e+01   
240     2.34805526e-03   2.49221967e+02   3.36538197e+02   2.23471916e+02   2.82665704e+01   
241     2.35805526e-03   2.48516035e+02   3.36272401e+02   2.23439539e+02   2.82082154e+01   
242     2.36805526e-03   2.47811564e+02   3.35993517e+02   2.23395230e+02   2.81495717e+01   
243     2.37805526e-03   2.47108563e+02   3.35701777e+02   2.23339181e+02   2.80906491e+01   
244     2.38805526e-03   2.46407038e+02   3.35397408e+02   2.23271581e+02   2.80314569e+01   
245     2.39805526e-03   2.45706997e+02   3.35080636e+02   2.23192618e+02   2.79720046e+01   
246     2.40805526e-03   2.45008445e+02   3.34751684e+02   2.23102479e+02   2.79123013e+01   
247     2.41805526e-03   2.44311388e+02   3.34410771e+02   2.23001347e+02   2.78523560e+01   
248     2.42805526e-03   2.43615833e+02   3.34058115e+02   2.22889405e+02   2.77921776e+01   
249     2.43805526e-03   2.42921785e+02   3.33693933e+02   2.22766833e+02   2.77317750e+01   
250     2.44805526e-03   2.42229250e+02   3.33318436e+02   2.22633809e+02   2.76711567e+01   
251     2.45805526e-03   2.41538232e+02   3.32931836e+02   2.22490511e+02   2.76103313e+01   
252     2.46805526e-03   2.40848738e+02   3.32534339e+02   2.22337111e+02   2.75493069e+01   
253     2.47805526e-03   2.40160772e+02   3.32126152e+02   2.22173784e+02   2.74880920e+01   
254     2.48805526e-03   2.39474338e+02   3.31707479e+02   2.22000701e+02   2.74266945e+01   
255     2.49805526e-03   2.38789441e+02   3.31278519e+02   2.21818029e+02   2.73651224e+01   
256     2.50805526e-03   2.38106086e+02   3.30839471e+02   2.21625936e+02   2.73033836e+01   
257     2.51805526e-03   2.37424276e+02   3.30390531e+02   2.21424588e+02   2.72414856e+01   
258     2.52805526e-03   2.36744016e+02   3.29931892e+02   2.21214148e+02   2.71794361e+01   
259     2.53805526e-03   2.36065308e+02   3.29463747e+02   2.20994777e+02   2.71172425e+01   
260     2.54805526e-03   2.35388157e+02   3.28986283e+02   2.20766635e+02   2.70549122e+01   
261     2.55805526e-03   2.34712566e+02   3.28499688e+02   2.20529880e+02   2.69924522e+01   
262     2.56805526e-03   2.34038538e+02   3.28004146e+02   2.20284667e+02   2.69298698e+01   
263     2.57805526e-03   2.33366075e+02   3.27499848e+02   2.20031162e+02   2.68671717e+01   
264     2.58805526e-03   2.32695182e+02   3.26986954e+02   2.19769494e+02   2.68043649e+01   
265     2.59805526e-03   2.32025860e+02   3.26465651e+02   2.19499827e+02   2.67414560e+01   
266     2.60805526e-03   2.31358112e+02   3.25936116e+02   2.19222309e+02   2.66784518e+01   
267     2.61805526e-03   2.30691940e+02   3.25398521e+02   2.18937087e+02   2.66153585e+01   
268     2.62805526e-03   2.30027346e+02   3.24853037e+02   2.18644306e+02   2.65521827e+01   
269     2.63805526e-03   2.29364332e+02   3.24299832e+02   2.18344110e+02   2.64889305e+01   
270     2.64805526e-03   2.28702901e+02   3.23739074e+02   2.18036641e+02   2.64256082e+01   
271     2.65805526e-03   2.28043054e+02   3.23170925e+02   2.17722038e+02   2.63622217e+01   
272     2.66805526e-03   2.27384792e+02   3.22595548e+02   2.17400441e+02   2.62987769e+01   
273     2.67805526e-03   2.26728116e+02   3.22013103e+02   2.17071984e+02   2.62352798e+01   
274     2.68805526e-03   2.26073029e+02   3.21423748e+02   2.16736804e+02   2.61717360e+01   
275     2.69805526e-03   2.25419531e+02   3.20827637e+02   2.16395033e+02   2.61081511e+01   
276     2.70805526e-03   2.24767622e+02   3.20224926e+02   2.16046803e+02   2.60445307e+01   
277     2.71805526e-03   2.24117305e+02   3.19615764e+02   2.15692243e+02   2.59808801e+01   
278     2.72805526e-03   2.23468579e+02   3.19000311e+02   2.15331492e+02   2.59172047e+01   
279     2.73805526e-03   2.22821445e+02   3.18378696e+02   2.14964657e+02   2.58535097e+01   
280     2.74805526e-03   2.22175904e+02   3.17751073e+02   2.14591872e+02   2.57898002e+01   
281     2.75805526e-03   2.21531955e+02   3.17117584e+02   2.14213260e+02   2.57260812e+01   
282     2.76805526e-03   2.20889600e+02   3.16478372e+02   2.13828942e+02   2.56623576e+01   
283     2.77805526e-03   2.20248838e+02   3.15833575e+02   2.13439038e+02   2.55986343e+01   
284     2.78805526e-03   2.19609668e+02   3.15183331e+02   2.13043667e+02   2.55349160e+01   
285     2.79805526e-03   2.18972092e+02   3.14527775e+02   2.12642945e+02   2.54712074e+01   
286     2.80805526e-03   2.18336108e+02   3.13867040e+02   2.12236988e+02   2.54075130e+01   
287     2.81805526e-03   2.17701716e+02   3.13201259e+02   2.11825909e+02   2.53438373e+01   
288     2.82805526e-03   2.17068915e+02   3.12530559e+02   2.11409821e+02   2.52801847e+01   
