Index        TIME             V(1S)            V(1)             V(2S)            V(2)             V(3S)            V(3)             V(4S)            V(4)
78      3.50000000e-09   2.00000000e+00   1.00000000e-03   6.95809966e-01   2.00000000e-03   1.18564632e+00   3.00000000e-03   1.10159827e+00   4.00000000e-03   
79      3.50750000e-09   2.00000000e+00   1.00000000e-03   6.98376991e-01   2.00000000e-03   1.18605340e+00   3.00000000e-03   1.09589995e+00   4.00000000e-03   
80      3.51500000e-09   2.00000000e+00   1.00000000e-03   7.00940939e-01   2.00000000e-03   1.18646027e+00   3.00000000e-03   1.09016574e+00   4.00000000e-03   
81      3.53000000e-09   2.00000000e+00   1.00000000e-03   7.06059581e-01   2.00000000e-03   1.18727340e+00   3.00000000e-03   1.07859018e+00   4.00000000e-03   
82      3.56000000e-09   2.00000000e+00   1.00000000e-03   7.16259660e-01   2.00000000e-03   1.18889723e+00   3.00000000e-03   1.05501415e+00   4.00000000e-03   
83      3.62000000e-09   2.00000000e+00   1.00000000e-03   7.36509533e-01   2.00000000e-03   1.19213516e+00   3.00000000e-03   1.00619238e+00   4.00000000e-03   
84      3.68000000e-09   2.00000000e+00   1.00000000e-03   7.56556259e-01   2.00000000e-03   1.19536017e+00   3.00000000e-03   9.55203228e-01   4.00000000e-03   
85      3.74000000e-09   2.00000000e+00   1.00000000e-03   7.76396543e-01   2.00000000e-03   1.19857230e+00   3.00000000e-03   9.02120057e-01   4.00000000e-03   
86      3.80000000e-09   2.00000000e+00   1.00000000e-03   7.96027127e-01   2.00000000e-03   1.20177161e+00   3.00000000e-03   8.47019259e-01   4.00000000e-03   
87      3.86000000e-09   2.00000000e+00   1.00000000e-03   8.15444786e-01   2.00000000e-03   1.20495814e+00   3.00000000e-03   7.89980126e-01   4.00000000e-03   
88      3.92000000e-09   2.00000000e+00   1.00000000e-03   8.34646328e-01   2.00000000e-03   1.20813196e+00   3.00000000e-03   7.31084738e-01   4.00000000e-03   
89      3.98000000e-09   2.00000000e+00   1.00000000e-03   8.53628600e-01   2.00000000e-03   1.21129310e+00   3.00000000e-03   6.70417846e-01   4.00000000e-03   
90      4.04000000e-09   2.00000000e+00   1.00000000e-03   8.72388483e-01   2.00000000e-03   1.21444163e+00   3.00000000e-03   6.08066751e-01   4.00000000e-03   
91      4.10000000e-09   2.00000000e+00   1.00000000e-03   8.90922894e-01   2.00000000e-03   1.21757759e+00   3.00000000e-03   5.44121178e-01   4.00000000e-03   
92      4.16000000e-09   2.00000000e+00   1.00000000e-03   9.09228789e-01   2.00000000e-03   1.22070103e+00   3.00000000e-03   4.78673144e-01   4.00000000e-03   
93      4.22000000e-09   2.00000000e+00   1.00000000e-03   9.27303160e-01   2.00000000e-03   1.22381200e+00   3.00000000e-03   4.11816830e-01   4.00000000e-03   
94      4.28000000e-09   2.00000000e+00   1.00000000e-03   9.45143038e-01   2.00000000e-03   1.22691055e+00   3.00000000e-03   3.43648443e-01   4.00000000e-03   
95      4.34000000e-09   2.00000000e+00   1.00000000e-03   9.62745492e-01   2.00000000e-03   1.22999673e+00   3.00000000e-03   2.74266077e-01   4.00000000e-03   
96      4.40000000e-09   2.00000000e+00   1.00000000e-03   9.80107630e-01   2.00000000e-03   1.23307059e+00   3.00000000e-03   2.03769573e-01   4.00000000e-03   
97      4.46000000e-09   2.00000000e+00   1.00000000e-03   9.97226599e-01   2.00000000e-03   1.23613218e+00   3.00000000e-03   1.32260378e-01   4.00000000e-03   
