Index        TIME               V(VOUT)              V(IN)       
194      4.5132812677e-06    1.9897773363e-01    7.0451023095e-01
195      4.5133403589e-06    2.6245144718e-01    6.8209286976e-01
196      4.5133994502e-06    3.3499441417e-01    6.5961672426e-01
197      4.5134585415e-06    4.1594927633e-01    6.3705265346e-01
198      4.5135176328e-06    5.0449168683e-01    6.1438081000e-01
199      4.5135767241e-06    5.9969737767e-01    5.9158952014e-01
200      4.5136358154e-06    7.0059619539e-01    5.6867373342e-01
201      4.5136949066e-06    8.0621297665e-01    5.4563342923e-01
202      4.5137539979e-06    9.1559650001e-01    5.2247217604e-01
203      4.5138721805e-06    1.1417215216e+00    4.7581750891e-01
204      4.5141085456e-06    1.5991362802e+00    3.8133004193e-01
205      4.5141786626e-06    1.7249227979e+00    3.5274178246e-01
206      4.5142063576e-06    1.7700565468e+00    3.4130416825e-01
207      4.5142340526e-06    1.8113193448e+00    3.3003650141e-01
208      4.5142894426e-06    1.8700430722e+00    3.0642151634e-01
209      4.5143382443e-06    1.8990565921e+00    2.8410699634e-01
210      4.5143870461e-06    1.9149412001e+00    2.6164799697e-01
211      4.5144358478e-06    1.9238821546e+00    2.4012833816e-01
212      4.5145334512e-06    1.9335044492e+00    1.9930845372e-01
213      4.5146310547e-06    1.9388187695e+00    1.5989024337e-01
214      4.5148262616e-06    1.9466470287e+00    8.1646139689e-02
215      4.5150000000e-06    1.9518116280e+00    1.2045918131e-02
216      4.5150195207e-06    1.9524433648e+00    7.4333371679e-03
217      4.5150390414e-06    1.9530141118e+00    4.6585620126e-03
218      4.5150585621e-06    1.9535320373e+00    2.5594598512e-03
219      4.5150976034e-06    1.9542122915e+00    7.6224155929e-04
220      4.5151756862e-06    1.9546531874e+00    9.6037670930e-06
221      4.5152537690e-06    1.9546631305e+00    1.3529449909e-06
222      4.5154099345e-06    1.9546625705e+00   -7.2215182033e-07
223      4.5155661000e-06    1.9546629421e+00    3.9839788412e-07
224      4.5158784310e-06    1.9546626866e+00   -3.0035647551e-07
225      4.5165030931e-06    1.9546628975e+00    2.6129540368e-07
226      4.5177524173e-06    1.9546627058e+00   -2.4379366901e-07
227      4.5202510656e-06    1.9546628886e+00    2.3550301648e-07
228      4.5252483622e-06    1.9546627101e+00   -2.3146737233e-07
229      4.5352429555e-06    1.9546628865e+00    2.2947636253e-07
230      4.5552321419e-06    1.9546627112e+00   -2.2848745349e-07
231      4.5952105149e-06    1.9546628860e+00    2.2799466762e-07
232      4.6751672608e-06    1.9546627114e+00   -2.2774866134e-07
233      4.8350807527e-06    1.9546628859e+00    2.2762578403e-07
234      5.1360807527e-06    1.9546627115e+00   -2.2756050630e-07
235      5.4370807527e-06    1.9546628858e+00    2.2749527908e-07
236      5.7380807527e-06    1.9546627115e+00   -2.2743003983e-07
237      6.0150000000e-06    1.9546628858e+00    2.2735918185e-07
238      6.0150312500e-06    1.9548042936e+00    6.5417910664e-03
239      6.0150625000e-06    1.9547497866e+00    1.6119636560e-02
240      6.0150937500e-06    1.9545717142e+00    2.6673792965e-02
241      6.0151562500e-06    1.9535753378e+00    5.0624479528e-02
242      6.0152812500e-06    1.9503301970e+00    1.0045409338e-01
243      6.0154062500e-06    1.9463174165e+00    1.5041428543e-01
244      6.0156562500e-06    1.9356223237e+00    2.5025684333e-01
245      6.0157400206e-06    1.9307724311e+00    2.8370224775e-01
246      6.0158237913e-06    1.9252962135e+00    3.1715147731e-01
247      6.0159913325e-06    1.9102081621e+00    3.8396360359e-01
248      6.0161588738e-06    1.8860312410e+00    4.5091442352e-01
249      6.0163264150e-06    1.8413617037e+00    5.1757236064e-01
250      6.0164772022e-06    1.7670068385e+00    5.7634715982e-01
251      6.0166043637e-06    1.6733168782e+00    6.2559317397e-01
252      6.0167188090e-06    1.5703474194e+00    6.7044474226e-01
253      6.0168332543e-06    1.4570969376e+00    7.1574402493e-01
254      6.0170621450e-06    1.2275842175e+00    8.0775180997e-01
255      6.0172581595e-06    1.0456125069e+00    8.8741490672e-01
256      6.0174541740e-06    8.8746534404e-01    9.6681685354e-01
257      6.0176305871e-06    7.6541077182e-01    1.0382167066e+00
258      6.0178070001e-06    6.5985040736e-01    1.1094066668e+00
259      6.0179834132e-06    5.6636426768e-01    1.1803454818e+00
260      6.0181598263e-06    4.7610394176e-01    1.2506771381e+00
261      6.0183362393e-06    3.7382045831e-01    1.3202900451e+00
262      6.0185126524e-06    2.4511847442e-01    1.3894538905e+00
263      6.0186708005e-06    1.1211021065e-01    1.4518793937e+00
264      6.0186918281e-06    9.4999189392e-02    1.4602470086e+00
265      6.0187338834e-06    6.4130541829e-02    1.4770718479e+00
266      6.0187759387e-06    4.0444869399e-02    1.4945956497e+00
267      6.0188179939e-06    2.4129580615e-02    1.5126987369e+00
268      6.0188600492e-06    1.3914587116e-02    1.5309287123e+00
269      6.0189021045e-06    8.0181867940e-03    1.5488968080e+00
270      6.0189862150e-06    2.9299961954e-03    1.5838230313e+00
271      6.0190703256e-06    1.8352674403e-03    1.6178329941e+00
272      6.0192385467e-06    1.3982752998e-03    1.6851545970e+00
273      6.0194067678e-06    1.2507124509e-03    1.7523872422e+00
274      6.0197432100e-06    9.9017377163e-04    1.8868701395e+00
275      6.0200000000e-06    8.7575024332e-04    1.9894974781e+00
276      6.0200672884e-06    4.1309668611e-04    1.9969883536e+00
277      6.0201216627e-06    1.8485588921e-04    1.9989829368e+00
278      6.0201760370e-06    3.4209764983e-05    1.9999816234e+00
279      6.0202847856e-06   -1.2104777152e-05    2.0000002104e+00
280      6.0205022828e-06    7.6360652214e-06    2.0000010933e+00
281      6.0207197800e-06   -4.8278716498e-06    1.9999984178e+00
282      6.0211547744e-06    3.8679864032e-06    2.0000015532e+00
283      6.0220247632e-06   -3.4639186002e-06    1.9999984756e+00
284      6.0237647408e-06    3.2789557741e-06    2.0000015030e+00
285      6.0272446960e-06   -3.1902459308e-06    1.9999985081e+00
286      6.0342046064e-06    3.1468528097e-06    2.0000014859e+00
287      6.0481244272e-06   -3.1253715466e-06    1.9999985170e+00
288      6.0759640688e-06    3.1146970977e-06    2.0000014815e+00
289      6.1316433519e-06   -3.1093655191e-06    1.9999985193e+00
290      6.2430019181e-06    3.1067114283e-06    2.0000014803e+00
291      6.4657190506e-06   -3.1053771632e-06    1.9999985199e+00
292      6.7667190506e-06    3.1043996515e-06    2.0000014800e+00
293      7.0677190506e-06   -3.1034117077e-06    1.9999985201e+00
294      7.3687190506e-06    3.1024348252e-06    2.0000014797e+00
295      7.5200000000e-06   -3.1004760486e-06    1.9999985206e+00
296      7.5200312500e-06   -2.6356179758e-04    1.9931841213e+00
297      7.5200625000e-06   -5.0002274413e-04    1.9832805885e+00
298      7.5200937500e-06   -7.0050788547e-04    1.9724072486e+00
299      7.5201562500e-06   -8.8883720660e-04    1.9480122285e+00
300      7.5202812500e-06   -9.5553037007e-04    1.8979174076e+00
301      7.5204062500e-06   -1.0155271590e-03    1.8478976413e+00
302      7.5206562500e-06   -1.1899177697e-03    1.7478076749e+00
303      7.5211562500e-06   -1.8500477815e-03    1.5476738431e+00
304      7.5221562500e-06   -1.2011547409e-02    1.1468257265e+00
305      7.5224062500e-06   -1.5255462371e-02    1.0464557037e+00
306      7.5226730454e-06   -1.3009836287e-02    9.3985643079e-01
307      7.5227703370e-06   -9.1317398947e-03    9.0126753240e-01
308      7.5228676287e-06   -1.9660570728e-03    8.6309163933e-01
309      7.5228971743e-06    2.1067104817e-03    8.5153457437e-01
310      7.5229267200e-06    6.7209179521e-03    8.4005796908e-01
311      7.5229858113e-06    1.9721705433e-02    8.1717716794e-01
312      7.5230449025e-06    3.8838045683e-02    7.9443096459e-01
313      7.5231039938e-06    6.5422953720e-02    7.7182388178e-01
314      7.5231630851e-06    1.0056772416e-01    7.4932936776e-01
315      7.5232221764e-06    1.4498649639e-01    7.2690722764e-01
316      7.5232812677e-06    1.9897773363e-01    7.0451023095e-01
317      7.5233403589e-06    2.6245144718e-01    6.8209286976e-01
318      7.5233994502e-06    3.3499441417e-01    6.5961672426e-01
319      7.5234585415e-06    4.1594927633e-01    6.3705265346e-01
320      7.5235176328e-06    5.0449168683e-01    6.1438081000e-01
321      7.5235767241e-06    5.9969737767e-01    5.9158952014e-01
322      7.5236358154e-06    7.0059619539e-01    5.6867373342e-01
323      7.5236949066e-06    8.0621297665e-01    5.4563342923e-01
324      7.5237539979e-06    9.1559650001e-01    5.2247217604e-01
325      7.5238721805e-06    1.1417215216e+00    4.7581750891e-01
326      7.5241085456e-06    1.5991362802e+00    3.8133004193e-01
327      7.5241786626e-06    1.7249227979e+00    3.5274178246e-01
328      7.5242063576e-06    1.7700565468e+00    3.4130416825e-01
329      7.5242340526e-06    1.8113193448e+00    3.3003650141e-01
330      7.5242894426e-06    1.8700430722e+00    3.0642151634e-01
331      7.5243382443e-06    1.8990565921e+00    2.8410699634e-01
332      7.5243870461e-06    1.9149412001e+00    2.6164799697e-01
333      7.5244358478e-06    1.9238821546e+00    2.4012833816e-01
334      7.5245334512e-06    1.9335044492e+00    1.9930845372e-01
335      7.5246310547e-06    1.9388187695e+00    1.5989024337e-01
336      7.5248262616e-06    1.9466470287e+00    8.1646139689e-02
337      7.5250000000e-06    1.9518116280e+00    1.2045918130e-02
338      7.5250195207e-06    1.9524433648e+00    7.4333371679e-03
339      7.5250390414e-06    1.9530141118e+00    4.6585620125e-03
340      7.5250585621e-06    1.9535320373e+00    2.5594598512e-03
341      7.5250976034e-06    1.9542122915e+00    7.6224155928e-04
342      7.5251756862e-06    1.9546531874e+00    9.6037670931e-06
343      7.5252537690e-06    1.9546631305e+00    1.3529449909e-06
344      7.5254099345e-06    1.9546625705e+00   -7.2215182037e-07
345      7.5255661000e-06    1.9546629421e+00    3.9839788398e-07
346      7.5258784310e-06    1.9546626866e+00   -3.0035647539e-07
347      7.5265030931e-06    1.9546628975e+00    2.6129540360e-07
348      7.5277524173e-06    1.9546627058e+00   -2.4379366893e-07
349      7.5302510656e-06    1.9546628886e+00    2.3550301639e-07
350      7.5352483622e-06    1.9546627101e+00   -2.3146737224e-07
351      7.5452429555e-06    1.9546628865e+00    2.2947636244e-07
352      7.5652321419e-06    1.9546627112e+00   -2.2848745340e-07
353      7.6052105149e-06    1.9546628860e+00    2.2799466754e-07
354      7.6851672608e-06    1.9546627114e+00   -2.2774866125e-07
355      7.8450807527e-06    1.9546628859e+00    2.2762578394e-07
356      8.1460807527e-06    1.9546627115e+00   -2.2756050621e-07
357      8.4470807527e-06    1.9546628858e+00    2.2749527900e-07
358      8.7480807527e-06    1.9546627115e+00   -2.2743003974e-07
359      9.0250000000e-06    1.9546628858e+00    2.2735918176e-07
360      9.0250312500e-06    1.9548042936e+00    6.5417910666e-03
361      9.0250625000e-06    1.9547497866e+00    1.6119636561e-02
362      9.0250937500e-06    1.9545717142e+00    2.6673792966e-02
363      9.0251562500e-06    1.9535753378e+00    5.0624479529e-02
364      9.0252812500e-06    1.9503301970e+00    1.0045409338e-01
365      9.0254062500e-06    1.9463174165e+00    1.5041428543e-01
366      9.0256562500e-06    1.9356223237e+00    2.5025684333e-01
367      9.0257400206e-06    1.9307724311e+00    2.8370224775e-01
368      9.0258237913e-06    1.9252962135e+00    3.1715147731e-01
369      9.0259913325e-06    1.9102081621e+00    3.8396360359e-01
370      9.0261588738e-06    1.8860312410e+00    4.5091442353e-01
371      9.0263264150e-06    1.8413617037e+00    5.1757236064e-01
372      9.0264772022e-06    1.7670068385e+00    5.7634715982e-01
373      9.0266043637e-06    1.6733168782e+00    6.2559317397e-01
374      9.0267188090e-06    1.5703474194e+00    6.7044474226e-01
375      9.0268332543e-06    1.4570969376e+00    7.1574402493e-01
376      9.0270621450e-06    1.2275842175e+00    8.0775180997e-01
377      9.0272581595e-06    1.0456125069e+00    8.8741490672e-01
378      9.0274541740e-06    8.8746534404e-01    9.6681685354e-01
379      9.0276305871e-06    7.6541077182e-01    1.0382167066e+00
380      9.0278070001e-06    6.5985040736e-01    1.1094066668e+00
381      9.0279834132e-06    5.6636426768e-01    1.1803454818e+00
382      9.0281598263e-06    4.7610394176e-01    1.2506771381e+00
383      9.0283362393e-06    3.7382045831e-01    1.3202900451e+00
384      9.0285126524e-06    2.4511847442e-01    1.3894538905e+00
385      9.0286708005e-06    1.1211021065e-01    1.4518793937e+00
386      9.0286918281e-06    9.4999189393e-02    1.4602470086e+00
387      9.0287338834e-06    6.4130541830e-02    1.4770718479e+00
388      9.0287759387e-06    4.0444869399e-02    1.4945956497e+00
389      9.0288179939e-06    2.4129580615e-02    1.5126987369e+00
390      9.0288600492e-06    1.3914587117e-02    1.5309287123e+00
391      9.0289021045e-06    8.0181867941e-03    1.5488968080e+00
392      9.0289862150e-06    2.9299961955e-03    1.5838230313e+00
