Index       V(2)              V(1)             I(VDS)      
200      3.40000000e-01    8.00000000e-01   -2.25431644e-03
201      3.60000000e-01    8.00000000e-01   -2.30167328e-03
202      3.80000000e-01    8.00000000e-01   -2.34656715e-03
203      4.00000000e-01    8.00000000e-01   -2.38932659e-03
204      4.20000000e-01    8.00000000e-01   -2.43022091e-03
205      4.40000000e-01    8.00000000e-01   -2.46947338e-03
206      4.60000000e-01    8.00000000e-01   -2.50727097e-03
207      4.80000000e-01    8.00000000e-01   -2.54377166e-03
208      5.00000000e-01    8.00000000e-01   -2.57910999e-03
209      5.20000000e-01    8.00000000e-01   -2.61340140e-03
210      5.40000000e-01    8.00000000e-01   -2.64674561e-03
211      5.60000000e-01    8.00000000e-01   -2.67922929e-03
212      5.80000000e-01    8.00000000e-01   -2.71092818e-03
213      6.00000000e-01    8.00000000e-01   -2.74190888e-03
214      6.20000000e-01    8.00000000e-01   -2.77223016e-03
215      6.40000000e-01    8.00000000e-01   -2.80194420e-03
216      6.60000000e-01    8.00000000e-01   -2.83109748e-03
217      6.80000000e-01    8.00000000e-01   -2.85973155e-03
218      7.00000000e-01    8.00000000e-01   -2.88788374e-03
219      7.20000000e-01    8.00000000e-01   -2.91558770e-03
220      7.40000000e-01    8.00000000e-01   -2.94287380e-03
221      7.60000000e-01    8.00000000e-01   -2.96976962e-03
222      7.80000000e-01    8.00000000e-01   -2.99630022e-03
223      8.00000000e-01    8.00000000e-01   -3.02248846e-03
224      8.20000000e-01    8.00000000e-01   -3.04835522e-03
225      8.40000000e-01    8.00000000e-01   -3.07391966e-03
226      8.60000000e-01    8.00000000e-01   -3.09919936e-03
227      8.80000000e-01    8.00000000e-01   -3.12421051e-03
228      9.00000000e-01    8.00000000e-01   -3.14896805e-03
229      9.20000000e-01    8.00000000e-01   -3.17348577e-03
230      9.40000000e-01    8.00000000e-01   -3.19777648e-03
231      9.60000000e-01    8.00000000e-01   -3.22185203e-03
232      9.80000000e-01    8.00000000e-01   -3.24572345e-03
233      1.00000000e+00    8.00000000e-01   -3.26940104e-03
234      1.02000000e+00    8.00000000e-01   -3.29289438e-03
235      1.04000000e+00    8.00000000e-01   -3.31621245e-03
236      1.06000000e+00    8.00000000e-01   -3.33936369e-03
237      1.08000000e+00    8.00000000e-01   -3.36235601e-03
238      1.10000000e+00    8.00000000e-01   -3.38519692e-03
239      1.12000000e+00    8.00000000e-01   -3.40789350e-03
240      1.14000000e+00    8.00000000e-01   -3.43045252e-03
