Index       TIME             V(VDD)             V(IN)            V(OUT)      
191      1.18161070e-09    1.00000000e+00    0.00000000e+00    9.95208811e-01
192      1.18241606e-09    1.00000000e+00    0.00000000e+00    9.95749142e-01
193      1.18402676e-09    1.00000000e+00    0.00000000e+00    9.96657499e-01
194      1.18724817e-09    1.00000000e+00    0.00000000e+00    9.97949488e-01
195      1.19369098e-09    1.00000000e+00    0.00000000e+00    9.99279237e-01
196      1.20657662e-09    1.00000000e+00    0.00000000e+00    9.99985489e-01
197      1.23234788e-09    1.00000000e+00    0.00000000e+00    1.00000439e+00
198      1.25811914e-09    1.00000000e+00    0.00000000e+00    9.99998209e-01
199      1.30966167e-09    1.00000000e+00    0.00000000e+00    1.00000070e+00
200      1.32000000e-09    1.00000000e+00    3.87740912e-16    9.99999857e-01
201      1.32187398e-09    1.00000000e+00    4.68495798e-03    1.00110455e+00
202      1.32346642e-09    1.00000000e+00    8.66605300e-03    1.00185495e+00
203      1.32505886e-09    1.00000000e+00    1.26471480e-02    1.00252246e+00
204      1.32824374e-09    1.00000000e+00    2.06093381e-02    1.00346366e+00
205      1.33461349e-09    1.00000000e+00    3.65337182e-02    1.00444407e+00
206      1.34735299e-09    1.00000000e+00    6.83824783e-02    1.00508389e+00
207      1.36000000e-09    1.00000000e+00    1.00000000e-01    1.00529495e+00
208      1.36075052e-09    1.00000000e+00    1.07505167e-01    1.00686718e+00
209      1.36134460e-09    1.00000000e+00    1.13446018e-01    1.00802117e+00
210      1.36193869e-09    1.00000000e+00    1.19386870e-01    1.00913223e+00
211      1.36312686e-09    1.00000000e+00    1.31268574e-01    1.01112155e+00
212      1.36550320e-09    1.00000000e+00    1.55031981e-01    1.01436167e+00
213      1.37025588e-09    1.00000000e+00    2.02558795e-01    1.01891363e+00
214      1.37976124e-09    1.00000000e+00    2.97612423e-01    1.02338668e+00
215      1.38926661e-09    1.00000000e+00    3.92666051e-01    1.01890711e+00
216      1.39877197e-09    1.00000000e+00    4.87719679e-01    9.97802650e-01
217      1.40662097e-09    1.00000000e+00    5.66209694e-01    9.63387805e-01
218      1.40782015e-09    1.00000000e+00    5.78201495e-01    9.55889623e-01
219      1.40901933e-09    1.00000000e+00    5.90193296e-01    9.47969994e-01
220      1.41141769e-09    1.00000000e+00    6.14176898e-01    9.29976333e-01
221      1.41381605e-09    1.00000000e+00    6.38160500e-01    9.09112871e-01
222      1.41621441e-09    1.00000000e+00    6.62144102e-01    8.85471414e-01
223      1.41861277e-09    1.00000000e+00    6.86127704e-01    8.59244452e-01
224      1.42101113e-09    1.00000000e+00    7.10111306e-01    8.30661275e-01
225      1.42340949e-09    1.00000000e+00    7.34094909e-01    7.99949240e-01
226      1.42580785e-09    1.00000000e+00    7.58078511e-01    7.67308851e-01
227      1.42820621e-09    1.00000000e+00    7.82062113e-01    7.32904803e-01
228      1.43300293e-09    1.00000000e+00    8.30029317e-01    6.59412711e-01
229      1.43779965e-09    1.00000000e+00    8.77996521e-01    5.80486747e-01
230      1.44000000e-09    1.00000000e+00    9.00000000e-01    5.42749978e-01
231      1.44023396e-09    1.00000000e+00    9.00584905e-01    5.38255861e-01
232      1.44043126e-09    1.00000000e+00    9.01078159e-01    5.34471621e-01
233      1.44062857e-09    1.00000000e+00    9.01571413e-01    5.30690135e-01
234      1.44102317e-09    1.00000000e+00    9.02557920e-01    5.23144663e-01
235      1.44181237e-09    1.00000000e+00    9.04530936e-01    5.08125571e-01
236      1.44339079e-09    1.00000000e+00    9.08476968e-01    4.78390618e-01
237      1.44654761e-09    1.00000000e+00    9.16369031e-01    4.20278879e-01
238      1.44970444e-09    1.00000000e+00    9.24261094e-01    3.64266612e-01
239      1.45286126e-09    1.00000000e+00    9.32153157e-01    3.10842150e-01
240      1.45601809e-09    1.00000000e+00    9.40045221e-01    2.60660650e-01
241      1.45917491e-09    1.00000000e+00    9.47937284e-01    2.14508381e-01
242      1.46233174e-09    1.00000000e+00    9.55829347e-01    1.73138350e-01
243      1.46548856e-09    1.00000000e+00    9.63721410e-01    1.37101416e-01
244      1.46864539e-09    1.00000000e+00    9.71613473e-01    1.06652766e-01
245      1.47180221e-09    1.00000000e+00    9.79505537e-01    8.17124166e-02
246      1.47495904e-09    1.00000000e+00    9.87397600e-01    6.18881191e-02
247      1.47811587e-09    1.00000000e+00    9.95289663e-01    4.65591210e-02
248      1.48000000e-09    1.00000000e+00    1.00000000e+00    3.92724157e-02
