Index     V(DRAIN)           V(GATE)        {-I(VDRAIN)}   
300    -1.0000e-03  -2.00000000e-01    -7.816e-10 
301       0.        -2.00000000e-01     1.271e-14 
302     1.0000e-03  -2.00000000e-01     7.816e-10 
303     2.0000e-03  -2.00000000e-01     1.564e-09 
304     3.0000e-03  -2.00000000e-01     2.347e-09 
305     4.0000e-03  -2.00000000e-01     3.131e-09 
306     5.0000e-03  -2.00000000e-01     3.916e-09 
307     6.0000e-03  -2.00000000e-01     4.703e-09 
308     7.0000e-03  -2.00000000e-01     5.491e-09 
309     8.0000e-03  -2.00000000e-01     6.282e-09 
310     9.0000e-03  -2.00000000e-01     7.076e-09 
311     1.0000e-02  -2.00000000e-01     7.872e-09 
312     1.1000e-02  -2.00000000e-01     8.673e-09 
313     1.2000e-02  -2.00000000e-01     9.479e-09 
314     1.3000e-02  -2.00000000e-01     1.029e-08 
315     1.4000e-02  -2.00000000e-01     1.111e-08 
316     1.5000e-02  -2.00000000e-01     1.193e-08 
317     1.6000e-02  -2.00000000e-01     1.277e-08 
318     1.7000e-02  -2.00000000e-01     1.361e-08 
319     1.8000e-02  -2.00000000e-01     1.447e-08 
320     1.9000e-02  -2.00000000e-01     1.534e-08 
321     2.0000e-02  -2.00000000e-01     1.622e-08 
322     2.1000e-02  -2.00000000e-01     1.712e-08 
323     2.2000e-02  -2.00000000e-01     1.803e-08 
324     2.3000e-02  -2.00000000e-01     1.896e-08 
325     2.4000e-02  -2.00000000e-01     1.991e-08 
326     2.5000e-02  -2.00000000e-01     2.088e-08 
327     2.6000e-02  -2.00000000e-01     2.188e-08 
328     2.7000e-02  -2.00000000e-01     2.289e-08 
329     2.8000e-02  -2.00000000e-01     2.393e-08 
330     2.9000e-02  -2.00000000e-01     2.500e-08 
331     3.0000e-02  -2.00000000e-01     2.610e-08 
332     3.1000e-02  -2.00000000e-01     2.722e-08 
333     3.2000e-02  -2.00000000e-01     2.838e-08 
334     3.3000e-02  -2.00000000e-01     2.956e-08 
335     3.4000e-02  -2.00000000e-01     3.079e-08 
336     3.5000e-02  -2.00000000e-01     3.205e-08 
337     3.6000e-02  -2.00000000e-01     3.334e-08 
338     3.7000e-02  -2.00000000e-01     3.468e-08 
339     3.8000e-02  -2.00000000e-01     3.605e-08 
340     3.9000e-02  -2.00000000e-01     3.747e-08 
341     4.0000e-02  -2.00000000e-01     3.893e-08 
342     4.1000e-02  -2.00000000e-01     4.044e-08 
343     4.2000e-02  -2.00000000e-01     4.200e-08 
344     4.3000e-02  -2.00000000e-01     4.361e-08 
345     4.4000e-02  -2.00000000e-01     4.527e-08 
346     4.5000e-02  -2.00000000e-01     4.698e-08 
347     4.6000e-02  -2.00000000e-01     4.875e-08 
348     4.7000e-02  -2.00000000e-01     5.058e-08 
349     4.8000e-02  -2.00000000e-01     5.247e-08 
350     4.9000e-02  -2.00000000e-01     5.441e-08 
351     5.0000e-02  -2.00000000e-01     5.643e-08 
352     5.1000e-02  -2.00000000e-01     5.851e-08 
353     5.2000e-02  -2.00000000e-01     6.066e-08 
354     5.3000e-02  -2.00000000e-01     6.288e-08 
355     5.4000e-02  -2.00000000e-01     6.518e-08 
356     5.5000e-02  -2.00000000e-01     6.755e-08 
357     5.6000e-02  -2.00000000e-01     7.001e-08 
358     5.7000e-02  -2.00000000e-01     7.254e-08 
359     5.8000e-02  -2.00000000e-01     7.516e-08 
360     5.9000e-02  -2.00000000e-01     7.787e-08 
361     6.0000e-02  -2.00000000e-01     8.067e-08 
362     6.1000e-02  -2.00000000e-01     8.356e-08 
363     6.2000e-02  -2.00000000e-01     8.655e-08 
364     6.3000e-02  -2.00000000e-01     8.964e-08 
365     6.4000e-02  -2.00000000e-01     9.283e-08 
366     6.5000e-02  -2.00000000e-01     9.613e-08 
367     6.6000e-02  -2.00000000e-01     9.954e-08 
368     6.7000e-02  -2.00000000e-01     1.031e-07 
369     6.8000e-02  -2.00000000e-01     1.067e-07 
370     6.9000e-02  -2.00000000e-01     1.105e-07 
371     7.0000e-02  -2.00000000e-01     1.144e-07 
372     7.1000e-02  -2.00000000e-01     1.184e-07 
373     7.2000e-02  -2.00000000e-01     1.225e-07 
374     7.3000e-02  -2.00000000e-01     1.268e-07 
375     7.4000e-02  -2.00000000e-01     1.312e-07 
376     7.5000e-02  -2.00000000e-01     1.358e-07 
377     7.6000e-02  -2.00000000e-01     1.405e-07 
378     7.7000e-02  -2.00000000e-01     1.454e-07 
379     7.8000e-02  -2.00000000e-01     1.505e-07 
380     7.9000e-02  -2.00000000e-01     1.557e-07 
381     8.0000e-02  -2.00000000e-01     1.610e-07 
382     8.1000e-02  -2.00000000e-01     1.666e-07 
383     8.2000e-02  -2.00000000e-01     1.723e-07 
384     8.3000e-02  -2.00000000e-01     1.782e-07 
385     8.4000e-02  -2.00000000e-01     1.843e-07 
386     8.5000e-02  -2.00000000e-01     1.906e-07 
387     8.6000e-02  -2.00000000e-01     1.971e-07 
388     8.7000e-02  -2.00000000e-01     2.039e-07 
389     8.8000e-02  -2.00000000e-01     2.108e-07 
390     8.9000e-02  -2.00000000e-01     2.179e-07 
391     9.0000e-02  -2.00000000e-01     2.253e-07 
392     9.1000e-02  -2.00000000e-01     2.329e-07 
393     9.2000e-02  -2.00000000e-01     2.408e-07 
394     9.3000e-02  -2.00000000e-01     2.489e-07 
395     9.4000e-02  -2.00000000e-01     2.572e-07 
396     9.5000e-02  -2.00000000e-01     2.658e-07 
397     9.6000e-02  -2.00000000e-01     2.747e-07 
398     9.7000e-02  -2.00000000e-01     2.838e-07 
399     9.8000e-02  -2.00000000e-01     2.933e-07 
400     9.9000e-02  -2.00000000e-01     3.030e-07 
401       0.10000   -2.00000000e-01     3.130e-07 
402      -0.10000   -4.00000000e-01    -1.981e-05 
403    -9.9000e-02  -4.00000000e-01    -1.954e-05 
404    -9.8000e-02  -4.00000000e-01    -1.927e-05 
405    -9.7000e-02  -4.00000000e-01    -1.901e-05 
406    -9.6000e-02  -4.00000000e-01    -1.874e-05 
407    -9.5000e-02  -4.00000000e-01    -1.848e-05 
408    -9.4000e-02  -4.00000000e-01    -1.822e-05 
409    -9.3000e-02  -4.00000000e-01    -1.797e-05 
410    -9.2000e-02  -4.00000000e-01    -1.771e-05 
411    -9.1000e-02  -4.00000000e-01    -1.746e-05 
412    -9.0000e-02  -4.00000000e-01    -1.721e-05 
413    -8.9000e-02  -4.00000000e-01    -1.696e-05 
414    -8.8000e-02  -4.00000000e-01    -1.671e-05 
415    -8.7000e-02  -4.00000000e-01    -1.647e-05 
416    -8.6000e-02  -4.00000000e-01    -1.622e-05 
417    -8.5000e-02  -4.00000000e-01    -1.598e-05 
418    -8.4000e-02  -4.00000000e-01    -1.574e-05 
419    -8.3000e-02  -4.00000000e-01    -1.551e-05 
420    -8.2000e-02  -4.00000000e-01    -1.527e-05 
421    -8.1000e-02  -4.00000000e-01    -1.504e-05 
422    -8.0000e-02  -4.00000000e-01    -1.480e-05 
423    -7.9000e-02  -4.00000000e-01    -1.457e-05 
424    -7.8000e-02  -4.00000000e-01    -1.435e-05 
425    -7.7000e-02  -4.00000000e-01    -1.412e-05 
426    -7.6000e-02  -4.00000000e-01    -1.390e-05 
427    -7.5000e-02  -4.00000000e-01    -1.367e-05 
428    -7.4000e-02  -4.00000000e-01    -1.345e-05 
429    -7.3000e-02  -4.00000000e-01    -1.323e-05 
430    -7.2000e-02  -4.00000000e-01    -1.301e-05 
