Index     V(DRAIN)           V(GATE)          N(M1:IDS)     {(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}     N(M1:GM)      {N(M1:GM)-{(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}}     N(M1:VTH)       N(M1:VDSSAT)   
105      5.00000000e-03    0.00000000e+00    5.06878242e-10    1.68470394e-08    1.68447663e-08    0.00000000e+00    2.92330791e-01    7.48426265e-02
106      6.00000000e-03    0.00000000e+00    6.09754446e-10    2.02654834e-08    2.02628063e-08    0.00000000e+00    2.92329162e-01    7.48428780e-02
107      7.00000000e-03    0.00000000e+00    7.13435343e-10    2.37059528e-08    2.37071595e-08    0.00000000e+00    2.92327241e-01    7.48431389e-02
108      8.00000000e-03    0.00000000e+00    8.18046046e-10    2.71809025e-08    2.71819095e-08    0.00000000e+00    2.92325031e-01    7.48434094e-02
109      9.00000000e-03    0.00000000e+00    9.23709532e-10    3.06905636e-08    3.06910680e-08    0.00000000e+00    2.92322534e-01    7.48436899e-02
110      1.00000000e-02    0.00000000e+00    1.03054733e-09    3.42383091e-08    3.42385971e-08    0.00000000e+00    2.92319752e-01    7.48439808e-02
111      1.10000000e-02    0.00000000e+00    1.13868041e-09    3.78291439e-08    3.78284393e-08    0.00000000e+00    2.92316690e-01    7.48442826e-02
112      1.20000000e-02    0.00000000e+00    1.24823029e-09    4.14666458e-08    4.14645529e-08    0.00000000e+00    2.92313351e-01    7.48445956e-02
113      1.30000000e-02    0.00000000e+00    1.35932026e-09    4.51499238e-08    4.51509536e-08    0.00000000e+00    2.92309737e-01    7.48449202e-02
114      1.40000000e-02    0.00000000e+00    1.47207673e-09    4.88889911e-08    4.88917594e-08    0.00000000e+00    2.92305853e-01    7.48452570e-02
115      1.50000000e-02    0.00000000e+00    1.58663074e-09    5.26925073e-08    5.26912386e-08    0.00000000e+00    2.92301703e-01    7.48456062e-02
