Index       TIME              V(VI)             V(1)       
398      3.35608849e-06    1.96486191e+00    1.88352430e+00
399      3.35655225e-06    1.96034948e+00    1.92871322e+00
400      3.35747977e-06    1.95127472e+00    2.01323023e+00
401      3.35840728e-06    1.94213370e+00    2.08836159e+00
402      3.35933480e-06    1.93292671e+00    2.15312589e+00
403      3.36026231e-06    1.92365407e+00    2.20810595e+00
404      3.36118983e-06    1.91431611e+00    2.25476573e+00
405      3.36211734e-06    1.90491312e+00    2.29488070e+00
406      3.36397237e-06    1.88591339e+00    2.36084702e+00
407      3.36768243e-06    1.84714795e+00    2.45837388e+00
408      3.37139249e-06    1.80737881e+00    2.53048557e+00
409      3.37510255e-06    1.76662758e+00    2.58801903e+00
410      3.38252266e-06    1.68226795e+00    2.67735966e+00
411      3.38994278e-06    1.59425239e+00    2.74521626e+00
412      3.39736290e-06    1.50277217e+00    2.79922835e+00
413      3.40478302e-06    1.40802611e+00    2.84335372e+00
414      3.41220314e-06    1.31022010e+00    2.87964882e+00
415      3.41962325e-06    1.20956671e+00    2.90962371e+00
416      3.42704337e-06    1.10628466e+00    2.93405185e+00
417      3.43446349e-06    1.00059842e+00    2.95363149e+00
418      3.44930373e-06    7.82936804e-01    2.97945745e+00
419      3.46414396e-06    5.58472922e-01    2.98944605e+00
420      3.47898420e-06    3.29156951e-01    2.99074434e+00
421      3.50866467e-06   -1.36037099e-01    2.99181213e+00
422      3.53537709e-06   -5.51137307e-01    2.99251819e+00
423      3.56208952e-06   -9.50748407e-01    2.99309760e+00
424      3.58880194e-06   -1.32363977e+00    2.99352297e+00
425      3.61551437e-06   -1.65933169e+00    2.99387622e+00
426      3.63955555e-06   -1.92182550e+00    2.99409916e+00
427      3.66119262e-06   -2.12079840e+00    2.99427513e+00
428      3.68282968e-06   -2.28063437e+00    2.99438620e+00
429      3.70230304e-06   -2.38857098e+00    2.99447729e+00
430      3.72177639e-06   -2.46079366e+00    2.99451701e+00
431      3.74124975e-06   -2.49622253e+00    2.99455336e+00
432      3.76072311e-06   -2.49432786e+00    2.99454047e+00
433      3.78019647e-06   -2.45513798e+00    2.99452466e+00
434      3.79966983e-06   -2.37923885e+00    2.99445881e+00
435      3.81914318e-06   -2.26776532e+00    2.99438846e+00
436      3.83861654e-06   -2.12238415e+00    2.99426423e+00
437      3.85808990e-06   -1.94526907e+00    2.99413157e+00
438      3.87756326e-06   -1.73906831e+00    2.99393745e+00
439      3.89703661e-06   -1.50686498e+00    2.99372782e+00
440      3.91650997e-06   -1.25213100e+00    2.99344409e+00
441      3.93598333e-06   -9.78675142e-01    2.99313310e+00
442      3.95545669e-06   -6.90586126e-01    2.99272792e+00
443      3.97493004e-06   -3.92171460e-01    2.99227650e+00
444      3.99440340e-06   -8.78930425e-02    2.99169952e+00
445      4.03335012e-06    5.20037101e-01    2.98992068e+00
446      4.03897851e-06    6.06170662e-01    2.98846812e+00
447      4.05023531e-06    7.76056971e-01    2.98000362e+00
448      4.06149210e-06    9.42062653e-01    2.96236191e+00
449      4.07274890e-06    1.10335761e+00    2.93467400e+00
450      4.08400570e-06    1.25913529e+00    2.89572004e+00
451      4.09526249e-06    1.40861674e+00    2.84310090e+00
452      4.10651929e-06    1.55105449e+00    2.77238208e+00
453      4.11777608e-06    1.68573628e+00    2.67423496e+00
454      4.12903288e-06    1.81198865e+00    2.52301700e+00
455      4.13012443e-06    1.82375899e+00    2.50316066e+00
456      4.13121599e-06    1.83544355e+00    2.48168563e+00
457      4.13339910e-06    1.85855311e+00    2.43333602e+00
458      4.13558221e-06    1.88131299e+00    2.37459385e+00
459      4.13776532e-06    1.90371889e+00    2.29951951e+00
460      4.13994843e-06    1.92576661e+00    2.19644965e+00
461      4.14213154e-06    1.94745200e+00    2.04585882e+00
462      4.14397329e-06    1.96546183e+00    1.87748896e+00
463      4.14563087e-06    1.98144570e+00    1.70426974e+00
